id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.1787566481768022,0.1733708212590331,0.18359276027354746
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.2492289104052609,-0.2971077752785485,0.1223691717447336
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.0930398540119917,-0.07682539606039664,-0.015497614098261161
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.300114604147421,-0.17945519171360028,0.036983873494857614
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.4802267741307346,0.4610870527122729,0.49116913473224344
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.7009060235740755,0.38083742913926616,0.6676662502663162
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.5523001398645653,0.660861710277516,0.5605798799552818
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.5218984533221397,0.2704914738480253,0.48081644467633833
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.3443759655376285,0.40890590900138996,0.36907953475010363
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.6928505921650842,0.35112836817312143,0.5665671134015534
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.6315507790447731,0.5300379902679475,0.7301653536198022
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.8229789618749846,0.22212316009758776,0.5862493712253429
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.6647341740238943,0.39106018944150256,0.5305363531632152
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.7295087531925928,0.4307213066593749,0.6220688341020113
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.7734120824389155,0.5169264589992276,0.6905393075771531
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.5489612369918161,0.080561465576799,0.3884685102206437
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.6858255921679278,0.08297102509080095,0.5097611197313672
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.8044328837462729,0.4399219250669507,0.6305453946254916
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.602472742879851,0.3827984855835317,0.5711106332394464
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.38201710204566613,0.2372185827087738,0.3398421580778318
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.6791474520187506,0.36110566162645413,0.6228813336946976
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.7112513543511689,0.25708692675523653,0.6828232967141981
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.6558987452259335,0.38492802299444157,0.5879647149269864
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.5093241506767909,0.4738732292590576,0.5362525285299342
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.5512845276958782,0.1568409362512428,0.4582104532154159
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.7252607657783451,0.06351109940679443,0.6166234327949001
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.4117069513104082,-0.013639454038619978,0.2873681152220979
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.5863420727026758,0.2229228339249558,0.4831003997854382
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.4243713830058711,0.4255934926628092,0.4665250408457777
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.7128219431787319,0.44293505183600224,0.7325466254298563
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.8284900906581919,0.3010539750697846,0.7284449956618855
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.2137506124703671,0.255155256030479,0.2815033616741686
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.362231767761536,0.11206467156426234,0.24492347096522765
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.2390013185137582,0.10247352055812065,0.23798629259513585
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.2168616628437236,0.4925218444138219,0.3105425010823735
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.0560503367216471,-0.02282213951250189,-0.041087526324564284
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.1342150083293839,-0.05083692289622249,0.06555370520501927
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.651393268556379,0.33075847384439117,0.5839001986514739
