id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.43423075296619307,0.3374737806025056,0.44879797378602376
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.33366367925309315,0.05171819977442176,0.32687467154722255
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.11066685821547129,0.15830281645845795,0.03552000961855995
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.3722403873128931,0.3556860834056727,0.19731537256539294
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.3986536127032319,0.37255198987888155,0.41019984631144496
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.6737830828043053,0.4502503098434232,0.6504296935365489
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.6089568164059427,0.672343198000136,0.5918803473990103
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.7102637016738981,0.47427899431178444,0.6741912133718584
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.5319360090627516,0.539762379773436,0.5396751665231567
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.6208297346392853,0.2797603833740835,0.5373129034623954
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.703147424120233,0.773681970454092,0.7490285302428457
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.8414516561470109,0.048033228311632835,0.6371559897919287
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.6800205990694387,0.3879735272770863,0.5610843436321848
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.8596107322126189,0.21951278303818736,0.7129357118102506
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.7733986503326862,0.44437318643538914,0.7020241802666449
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.553462578437854,0.33402411374706664,0.4434217679670857
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.6413795186792157,0.24532639536383063,0.49132019356270346
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.8540035595962944,0.3497954762218479,0.6398416544912974
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.6908298129827589,0.551982097596266,0.6820788659773473
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.5944799343965155,0.42278455117131525,0.5680869104478562
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.7451017214613223,0.4703859585807499,0.687575929340341
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.7803850933550481,0.2889070448129453,0.7334220736037511
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.6588386589296983,0.3237319425060188,0.6130066839470911
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.6384437916960232,0.5697671406330449,0.6766627169617956
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.5775425642807974,0.26576458047491164,0.5011133774498209
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.7013897319997936,0.3571656928709724,0.6216054285289833
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.36429590666886835,0.2471729085373519,0.32916819882262766
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.5805285158274373,0.32033508037414377,0.5097356319239318
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.5481666322932721,0.41836804564184316,0.5351898221984653
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.6516803260846178,0.5253583955899974,0.746149064763915
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.869432091243294,0.42292923461990733,0.8248749311951865
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.3000071134245648,0.24220522993063937,0.2908106737071152
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.4231518618593248,0.04644816178727036,0.32194169727877336
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.5162574703320028,0.3434472454839937,0.487417962875773
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.21941565034872726,0.3037619466310342,0.22221178990412502
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.380764728151911,0.11260781767843894,0.27896896175518354
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.1483033992723655,0.10718122784923553,0.1267398109240468
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.7880665644268475,0.4357926316605959,0.7467555850178361
