id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.01648761671385136,0.03319550106574261,0.024413229778349626
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.004494444267685502,0.013027922563411572,0.008505814344494317
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.06666372908965192,0.05169551988715428,0.059623083291851835
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.11388196362544768,0.11198479999057781,0.11367335889237903
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.01733327313939922,0.04157797726896134,0.027143445411460722
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.03256698548119441,0.04817554381459944,0.0385227304945552
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.04079839376792946,0.05272681830967067,0.04474812766624506
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.06984926767741605,0.07945142836735465,0.07412712459905757
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.06900995098151921,0.09847901966278431,0.07814756647778592
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.06326904107005261,0.07579351922470307,0.06705898393633664
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.0924144086599414,0.07224258445295267,0.08189693731090433
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.03480325944156646,0.057688679683320726,0.04304536240868115
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.06965279803647621,0.08720992002531919,0.07695146054940362
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.04936108532892351,0.07140491418446998,0.05851231811180552
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.07133677653082776,0.07371233186566767,0.07365871314313191
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.04775823783013306,0.04391387983210327,0.04328297145667778
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.03667599742462725,0.04061478442434415,0.03869094252427853
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.052153130333613906,0.06693283679586556,0.0570803471748699
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.05856768292334488,0.06959783368297995,0.0635911199644075
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.04655836818978625,0.06818867270495035,0.054560488515579375
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.07073043587705265,0.11958186508567994,0.09290770202999693
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.04112463906524194,0.053463925542692615,0.04497788729504511
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.07614732484297487,0.09076603447317814,0.08320335388526338
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.0427780385735664,0.0904170646983496,0.06471654611958039
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.03459768905146304,0.05401810757033901,0.042445167395600794
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.03787272945466909,0.07295074818486967,0.04629510473355015
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.05758543940353083,0.06952656349647984,0.06314911662095345
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.04524789958781852,0.0481556364998386,0.04679837921491577
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.042022503657446975,0.04897486203776883,0.044687180275514875
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.05050791399997313,0.07228478978652876,0.05743117361646229
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.04224732410375726,0.051004866508110897,0.04523648180839749
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.09051800982150052,0.09190576623443471,0.09185137247631191
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.04959755804455863,0.0682485963587764,0.05506007320501006
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.06014032065490371,0.0904867303901217,0.06684737749053016
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.048753822752101564,0.06344212352658003,0.05302728868830851
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.018244381149946524,0.0294372235830102,0.023426050116231025
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.059633660348966895,0.07825984673263668,0.06722177391410182
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.06611096350172405,0.07473176739873624,0.06887709895901793
