id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.030235056140579072,0.02279742296174241,0.026588070811106375
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.006320605173298037,0.014593619051686582,0.00981437526189092
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.04634271848232619,0.052348721249777,0.05002986177814448
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.11334536104858649,0.11830507915526033,0.11610018110417557
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.020371492296683037,0.03827960599660684,0.027537362610712764
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.041622389628558736,0.038040178064470916,0.03937873389269967
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.027891418262115244,0.07087071929142194,0.04655018199788243
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.06751077031508038,0.0836056189892015,0.07402484500449406
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.07136286657753224,0.098071525400268,0.0794304818959522
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.06186552486067523,0.07958438211023708,0.06761477354024345
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.08107113108510751,0.08750009077869472,0.08176699712803484
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.0352280984448358,0.05915606379476981,0.04289374681850867
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.07240379627581718,0.09169575104611556,0.0798176351054052
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.05293881473557635,0.07417682265146217,0.0606366108542704
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.07181091225177304,0.07495889304535712,0.075055277258901
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.03896442991276134,0.048610278021611275,0.040331962300752054
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.0343297720569223,0.049843015669665765,0.04167657186213164
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.05362759386048989,0.0680721372735872,0.05620408024415123
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.06087697907109307,0.06634148328485048,0.06222814504825774
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.050961358582845485,0.06854505362223447,0.055961357505620875
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.08154901136691729,0.10718466260998945,0.09176140573360253
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.0331512007686978,0.06652723094804945,0.04440436774029754
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.07378661656622179,0.0901743822520022,0.08095889448086036
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.043656884527036435,0.08935830151311898,0.06500597204451637
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.03576433985878539,0.056970006078473225,0.04427386004336236
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.037138133874342186,0.07984640325473043,0.04605628012195409
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.05904094539490812,0.07448473981947606,0.06462423705425337
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.04080940808189314,0.05765693235998903,0.047436873754792844
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,0.03844845443670503,0.05402081987124738,0.043569064273870854
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,0.05223796687294416,0.07161287664188473,0.0578741513172046
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,0.03597092329721826,0.05865265058578669,0.04494777343951359
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.07550500374030182,0.10988510576025431,0.09091041254293657
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,0.039753807753373525,0.08580282835849083,0.05563686922803975
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,0.05357864228259021,0.10834390029286979,0.06666284555795017
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.043959544403286636,0.07200381949895394,0.0531347964113924
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.009862563855916428,0.03523935978493648,0.01996370797554138
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,0.05985170063731134,0.08978369692411195,0.07129944245295887
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,0.06094189298051198,0.08133088296058495,0.06754159243021012
