id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.31311287344273114,0.19450853797455675,0.31463884824572597
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,-0.005145826618154882,-0.06078927752745047,-0.04180374989298753
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.16594111445321338,0.18473856506668002,0.17667783872765166
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,-0.017400881885647965,0.08108822210461382,0.014405118149916196
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.5700273987855516,0.3221723619706562,0.5537399974150433
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.6122775855808902,0.33237918539851374,0.5671061100425533
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.6292277879023912,0.5185084583270065,0.6297137432769642
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.6263231278010075,0.356571354950454,0.5895386711341469
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.42890531856009273,0.42011864339576094,0.5358742405325091
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.5052885084954089,0.39369384239894095,0.468795932970738
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.5281914689374904,0.5609352974736088,0.7114693490935738
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.7749187817781253,0.27422515548664794,0.5383723937292879
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.5591866173747911,0.4049037057509119,0.47824689401287007
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.7024036856587442,0.3719641377120603,0.6072638676897548
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.7482430898755141,0.5544646750922837,0.7977226594555915
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.44632530404495074,0.30662639207996134,0.35256953071968977
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.5881392464002371,0.13044978034485902,0.48812000309738923
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.7091375142263927,0.47218445696025846,0.6005257231137069
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.6347617319368057,0.3623358639042638,0.6227738463698804
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.2789819167239549,0.32699760294034147,0.3290645494305288
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.3698930603223,0.46078158542093484,0.5068868678143816
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.6634389762502502,0.24732898884765547,0.6264963073490908
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.4126875110855179,0.38799415909978474,0.4245886524913476
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.5406970774094045,0.4152521081926786,0.5596237375394746
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.4672462033674641,0.20389879903064598,0.3963729889888183
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.6691594878180381,0.23077417787151433,0.523817331066346
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.34758098384587344,0.01166292051224973,0.28181314785528355
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.5208129258205806,0.21095782501869195,0.47030504160566294
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.5882906324884263,0.41167503165359837,0.5710139803785907
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.6516776817231411,0.32451989026071254,0.7178676439617268
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.8094465990634913,0.4344068810948546,0.7016968123702114
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,0.39027777429737404,0.3499913689876733,0.4157078796612657
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.2517216030056733,-0.0012877092748008934,0.2272052191009223
M410-10_v2_trim_mvmt,410,True,10,9.0,"(71, 7137)",M,0.2743724561571847,0.19519297412949113,0.2535543379448113
M412-8_v2_trim_mvmt,412,True,8,9.0,"(135, 7515)",F,0.11463101891143128,0.5612486651999467,0.24529861703324932
M412-10_v2_trim_mvmt,412,True,10,9.0,"(101, 7163)",F,0.16466398540618418,0.07054193538641663,0.128049096416508
M415-6_v2_trim_mvmt,415,True,6,9.0,"(131, 7585)",F,-0.03276975378407944,0.08922554583629155,-0.01554534781247269
M415-8_v2_trim_mvmt,415,True,8,9.0,"(62, 7420)",F,0.5389426944513926,0.4060967500153837,0.5420847294323585
