id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.012909930732474602,0.31152288596162864,0.12056795858100179
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.08507004361162825,-0.3165868306468717,0.07940204441058382
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.24054494344028912,-0.03354198672500555,0.17218333901071994
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.2789908706749785,-0.11796144920826761,0.26136018277636264
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.3622499258118025,0.19042440674391642,0.34297535469840884
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.6678308811180778,0.45202841275262723,0.6736070580994243
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.1712372911663641,0.46040861974054276,0.26417358550648196
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.4552536775310357,0.13808599655281542,0.4303405137808185
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.4020685087202733,0.29520490468528554,0.39692092729840395
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.5164913018157619,0.1644967150102036,0.38821682323913004
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.4474248167607898,0.4390963920910845,0.49690887496419944
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.586649632358984,0.019741443901306208,0.3823953326948526
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.7480821004778929,0.375989622950293,0.6010100020413677
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.775830050606798,0.26275123558038144,0.6254954007539454
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.7351820797628416,0.3470683475295395,0.6321301994933635
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.6988709823545081,0.11283839075882472,0.552341542393563
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.6758020055424724,0.19503195148775906,0.5349735137303553
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.8384981127495874,0.20333802004620463,0.6437267978173858
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.48948528641865213,0.49349543262942547,0.5361210976380876
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.616866192697523,0.24873510872775853,0.5535416197175633
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.6950298868407622,0.3900599111517335,0.6992304742500348
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.5633952240108637,0.32972731498007796,0.6137243567816644
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.5132710353354549,0.3407803532668621,0.40728449999519967
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.37943233687148215,0.33919549018548256,0.3761034442418813
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.5331848804048859,0.2720335941515908,0.4266674219057943
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.7183971919852827,0.37541649179952374,0.6413632367667322
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.3676308040918881,0.1836559984994704,0.2674796435548421
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.7082450134417475,0.20309132177744368,0.6735776717006366
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.586740661415496,0.4473691593021908,0.608122430702667
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.6163105860378961,0.3922821408833028,0.6154919068786928
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.8282644771647152,0.39480838572745147,0.7754399463507334
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.5485842779058202,0.03018232028686764,0.4585808131151044
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.6471979732792982,0.171074340435637,0.5195003361257133
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.45256538374799216,-0.0020532779998732632,0.393677385596294
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.038099793388370905,0.21568098765829724,0.10080474305699295
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,-0.050428063001802116,0.1501401445328051,-0.13073861874316692
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.21597940295314128,0.05662015049688793,0.17559452447160828
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.6546204025174592,0.1985064075690113,0.5237851295819803
