id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.047725388115530176,0.052548933873266986,0.05095587120449575
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.01752900232705284,0.006182296367656334,0.011627873957409255
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.042684397605388544,0.04827348393201817,0.043917524871843236
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.0513951167708829,0.04935397309823533,0.05164684235438042
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.037436391009606454,0.054776256804427645,0.043959372885782694
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.03148833975111519,0.0513316677227849,0.039061165901273114
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.06832000455803221,0.0712262596504421,0.07073713576823318
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.06133142927457351,0.08198576839017922,0.06373130614680043
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.07102194811924466,0.09545495452979531,0.07831574921513663
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.062215458864154784,0.08323050649357765,0.07071489805959649
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.0966990965525634,0.09926118173711468,0.0980752415782066
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.04059162939157733,0.04363830030423983,0.041309084107824634
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.0911047252172937,0.0956857312020845,0.09369401855506071
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.07163266276357058,0.09659021946345993,0.08203690558944662
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,-0.000257749634268216,0.008770841973058484,0.002834712176179002
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.04050182396060523,0.031850503662065245,0.035816756924971056
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.010951564227624189,0.027499089216013517,0.019620196667919615
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.056162402152129136,0.0594749467787771,0.05671781425008941
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.0704245717394926,0.08029654957610659,0.075467966651419
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.020571832738326214,0.027673601669596065,0.02439567097711074
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.06861054429191069,0.0910846403064903,0.07790803971399674
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.06489012292401757,0.07408304634923983,0.06786866224499671
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.06676967689048013,0.10426505210061845,0.07629418618614517
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.05739114962278144,0.09491552820265454,0.07391631327214178
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.053273903160967286,0.0846101995242465,0.06387697195263907
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.10970485918217322,0.12687801239418628,0.1182819146026741
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.08112290279495413,0.0963451783956363,0.08830335221334383
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.06989150962533243,0.07716803668201162,0.0734006550536808
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.061116821430313675,0.062270167922662184,0.061870029661103804
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.06095273437747494,0.08554067652697196,0.07184771796078741
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.07253308981570276,0.07429709876346227,0.07416464305433257
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.0973434330920918,0.09921204690670724,0.09849076665486618
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.04766063725376841,0.07538943331561741,0.05790144083340138
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.07767920143924999,0.09344484123261378,0.08450522196669509
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.07055286461828407,0.06868792600592204,0.06888383537285564
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.059258303329398423,0.07859549018799146,0.06985207389958685
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.06431402640199049,0.07211656634368384,0.06608596986465981
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.06662579945957761,0.07860686089493968,0.07229105407149942
