id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.0488079407167981,0.051671378006361596,0.05069309063619246
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.009539005618209577,0.024844941260096197,0.016695935874372587
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.04334796284324864,0.05200407712547405,0.045165332378012554
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.04855917495632778,0.049946980425386395,0.05041815440138808
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.03682682940705617,0.062161471967004125,0.04663610299308403
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.04104354012934376,0.03877314785922107,0.039017135930830116
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.05037057677187659,0.09196324760549406,0.07374841482325553
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.055566443873177364,0.08613022537668677,0.0631916504342974
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.07240051665904916,0.10259893059687908,0.07867841913374937
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.06922540866842025,0.07905495086462516,0.07146173854311265
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.09723041286567506,0.10426811791840272,0.09712909645208763
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.03626043152393426,0.04288744022573633,0.03822092989024142
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.08590043071963861,0.10087247197177092,0.09302037399159381
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.07109058408948661,0.09527908459424284,0.07954127029285309
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,-0.004313775668314391,0.008180932397715546,-0.00018782710354748626
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.03318336259815213,0.04146454125162777,0.03568054764860956
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.008310654796383198,0.026869863938760966,0.01802479260710601
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.04865201069932777,0.07322589330515396,0.05825172297722801
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.07484457992834587,0.07705618142056962,0.07488151449437883
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.0267760184482275,0.017036822868379372,0.02156141041439172
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.07042914590589149,0.08725511195952358,0.0773788511829826
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.06750116427023749,0.07037163269855433,0.06909278507178848
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.06892928421622424,0.1049662344783478,0.07637243797274969
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.06147967748482592,0.09624839807960797,0.07550366273822834
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.0547524643835576,0.0949729506668239,0.06559402330694168
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.10903360700381648,0.11534863535859707,0.11116213622736153
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.08268020170716253,0.10070497128464523,0.09131523576666944
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.06763655641709755,0.08234840929869122,0.07295003563083474
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,0.05412808776938147,0.06256993940575246,0.05806560295496479
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,0.0704619241818289,0.07872019143975187,0.0724985023542828
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,0.07098604986171987,0.07862009831524376,0.07517135728761096
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.08913930807292969,0.11931148670630705,0.09639442263533742
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,0.03979304315874415,0.09525546154539676,0.058992797093014596
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,0.06384509690774645,0.11429795097678376,0.08542696091465883
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.058399566459133204,0.0834906932325351,0.06911847237441231
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.0677296444904294,0.0706574207215995,0.06896404783839186
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,0.05642177056665932,0.08090327403415742,0.06394591240982067
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,0.05941586658384669,0.09146447741039762,0.07170891388359434
