id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.1797917258451311,0.09009671360491452,0.19229929750554692
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.13425378078830258,-0.12690575576688204,0.05985350350807266
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.12633738734688846,-0.05116545552666082,0.06363191392934738
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,-0.06983091627743002,-0.09320271061702402,-0.03848067000549732
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.5012120361595171,0.33868682240322867,0.483237276475654
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.5798397365171435,0.34469345266960694,0.519285400905726
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.18072154427313092,0.21700709854567546,0.20892685880288406
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.5968254913869699,0.2522382375597729,0.544245806844971
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.3105603876380279,0.39752507111225077,0.4441526329653548
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.37033658442248235,0.1694072669042805,0.299390017348142
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.3891281759207611,0.4386830455354191,0.4965168808184964
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.5422221703853607,0.07919384355711029,0.352884768631584
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.6605337115118203,0.40246109119677526,0.5693845446241416
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.6593917902716149,0.31375045033689064,0.5578181990525168
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.7565857080655963,0.517263316571367,0.7649853292819789
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.6121669697311868,0.1918853999637567,0.4789444367851449
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.6604696538221964,0.3225182305261363,0.582691141825568
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.8250309620343756,0.33141253277695665,0.6394996763085901
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.8262990429111309,0.4778641113564689,0.8182199456164075
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.5720040959606568,0.32573205800985844,0.5790801264423895
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.6199963724763365,0.4417566215989062,0.6271079796050619
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.5537766617923009,0.31166128631090456,0.5942090890673859
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.4487926258276937,0.3187941286147294,0.46628583303506194
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.41687518724453576,0.2995914661854727,0.39481398019879993
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.6101826141475226,0.2752053664304621,0.4678326073648608
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.6580333977710601,0.4159417589122488,0.5501176538216501
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.16169202037352087,0.2305315825913815,0.22786372164796748
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.6891100481903268,0.2546511052476576,0.6685261285131182
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.7890232433957072,0.4736141351961295,0.7656659020320898
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.4660862895164713,0.23568028812088998,0.6087161713616882
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.8057746629761532,0.38099974598356673,0.7446106628101038
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,0.6521850251941486,0.46722488803959156,0.6237411639239036
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.4896535430075381,0.4184058848003121,0.4766465133212672
M410-10_v2_trim_mvmt,410,True,10,9.0,"(71, 7137)",M,0.26996967629489227,0.05563596137543865,0.24773355609062223
M412-8_v2_trim_mvmt,412,True,8,9.0,"(135, 7515)",F,0.3026887370976782,0.4443461215236259,0.34376527701084236
M412-10_v2_trim_mvmt,412,True,10,9.0,"(101, 7163)",F,-0.0237592791504737,0.22715954639385813,0.05758834770997652
M415-6_v2_trim_mvmt,415,True,6,9.0,"(131, 7585)",F,0.03568906152425864,0.09222482600703158,0.041069683063469496
M415-8_v2_trim_mvmt,415,True,8,9.0,"(62, 7420)",F,0.569325547713631,0.40301831410581307,0.6162152300243025
