id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.14138285057001362,0.5449647634608854,0.3179951411797543
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.42439696038085056,0.040778080887115056,0.11001007063857239
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.4482648368335846,0.16064811628904463,0.4013004237715623
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.03660304475228775,0.20516409904985128,-0.03247910163842186
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.577196165632354,0.4826700789769213,0.578008178094972
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.7436159754474405,0.7844337134584749,0.7484756182568154
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.5477863103500821,0.35765269373278397,0.42485992752061397
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.8104788373960201,0.3118905849453763,0.752123959279008
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.7441021429335404,0.577564952407278,0.7407403302153508
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.2837865033455514,0.6582421735884508,0.5601935281975376
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.36889645633809925,0.6478465972694757,0.4982395173712246
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.8160838656074285,0.332660364546346,0.616469477711774
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.5124410413469318,0.5436933449190462,0.5295789913893945
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.73545280431547,0.45593325275065727,0.587088241242849
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.6055673466800429,0.6723987973966657,0.3468828907480758
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.6615115490758219,0.4006285574734796,0.600934678692651
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.7390864422796531,0.4773725085638985,0.713744480286426
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.01912193502487913,0.6291915742903295,0.2457389008502152
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.7390373708200001,0.47089283586758635,0.6923798860510368
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.6832416392086076,0.33224353469266293,0.6887112161604119
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.687390063857169,0.3069994902397878,0.6334787790087124
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.6111308363547824,0.6024796523437979,0.5475312760368636
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.25321660241662525,0.4557531804543836,0.4109182529872722
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.6343924449761968,0.5903503384279403,0.49098484401224723
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.6922312732778529,0.2961546812836702,0.6387727758919114
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.5047864930112896,0.4317000657421284,0.5863087346882115
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.43867901579144963,0.4405804486126246,0.5051196218993759
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.8471466046798397,0.6556663866319287,0.7779160406817769
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.4050527136514696,0.23760667258086715,0.2882705167993039
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.3807910599741014,0.6380617028858641,0.3538946973655153
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.3637241560124414,0.6946594672706402,0.5029126896922578
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.6313359494785755,0.4998011692541525,0.5928485472120346
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.5563306714550165,0.31923424546947776,0.48492271253110075
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.521798169962788,0.3504725436921326,0.48568323886607984
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.7487719534309389,0.21929054702766915,0.8057280527805941
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.4763334432998366,0.13244285110307527,0.5177473452536822
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,-0.007892214025400078,0.412804512074718,0.16682234063557155
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.6346728211653055,0.445843884722175,0.6120512363544682
