id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.3862278017637912,0.5240795648009492,0.44925257587342105
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.3695208882158917,0.1850987866427277,0.13908676072656947
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.5431650912197146,0.3162164781140681,0.4932078608082854
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.2037560752300295,0.5077478357842772,0.19578631046039147
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.6676588651464918,0.5070909574051485,0.6565505300671901
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.7777095498506961,0.7959028719178365,0.8021275711681445
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.5851307445765458,0.28553160958700424,0.522794188135847
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.8524886102923583,0.35737172753000274,0.8158105625033275
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.69543336189345,0.49892843304770723,0.699972648466188
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.18604790831074447,0.7155812790489342,0.5802330672199852
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.36251569367653447,0.6135596904991796,0.44249241943577095
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.7800579350419757,0.558464885029997,0.6890353955250228
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.6254118161564365,0.5351720411365393,0.5999639142389549
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.816312399553266,0.3072308984958844,0.6614220886363853
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.7225699420517787,0.6609670870758899,0.4465009478339639
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.7499453699692129,0.30689296644026914,0.6347722109849083
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.7728929975527011,0.4893421017045529,0.7234759066241421
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.35667123318116234,0.5648633506274834,0.4091116014995745
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.7979162566357717,0.5093117329178385,0.763564248521792
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.6462918423198971,0.3434021807296393,0.6545908886098013
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.7527232176268556,0.2501453062435897,0.660105546025836
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.6527056376186768,0.544152544465467,0.5891055179114475
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.3958049251574299,0.5549879935603818,0.49953245342440294
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.6225794040453415,0.6751672354531385,0.5300301681289931
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.5709725422636932,0.4046707475563258,0.545016945765873
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.6647319800249046,0.5550526989589007,0.7033263973134372
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.536559934366244,0.5635291818677256,0.5593479247792161
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.8759777525006175,0.6715609395149135,0.8189686605015953
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.5854402715989832,0.2190446680465083,0.42187006286199635
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.3849410225392484,0.616451218810981,0.4368960761917303
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.6342739346714442,0.45291704058805793,0.6929525106914225
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.710945540212222,0.65708228868929,0.692384981882011
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.691389238943683,0.3232039303358273,0.5917306173604955
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.7712474649055779,0.47017834158358723,0.7357959377112471
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.8045156283123104,0.29200538327261444,0.8226836416362043
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.6456058383584615,0.3141131507228476,0.5925383521426526
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.7000790547294132,0.30371502383132415,0.6128915703348028
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.7663932470805708,0.40015672104565253,0.7728413551441018
