id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.14949267047633985,0.15951823203257118,0.15757857463295782
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.06197119783271603,0.09710328997503086,0.07324253373741496
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.14102772962461008,0.14212313640636173,0.14368004105715423
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.11510834543296018,0.1278529605462443,0.12282968900538233
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.06829481664976347,0.08784123344991833,0.07861628167860933
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.07439698952037169,0.09052419919148767,0.08304963656032938
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.14949072028870655,0.16494613073468953,0.1600622815404439
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.09864806526309358,0.1408686989287399,0.11803110230654873
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.22895960115203567,0.2370234368985219,0.23594823908355642
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.08558406489980784,0.11692074357566737,0.09986239590951614
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.09995746142414288,0.1217238857974396,0.11228908789344778
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.07734171799429114,0.07712192707987565,0.07468060069830006
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.1526346929691973,0.16276597734664744,0.1576060254843906
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.15216816796363644,0.12971615831615668,0.14242972863238873
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.1745120868810147,0.20028937974797367,0.18920099830637727
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.19599277602547718,0.15282448545721114,0.1756236310770453
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.17275364885377006,0.19225199055061232,0.18447579454306562
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.21342038704492367,0.23337970297878566,0.22568466746047003
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.07655156432901102,0.08132737052561406,0.07718045951907121
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.17313762783507217,0.1656084675757402,0.17204464860024882
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.061559814976203886,0.1014926132244736,0.07511013784473561
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.05560406709976546,0.08230205670901636,0.06515836904189055
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.12551905521583284,0.1514946544023589,0.13843624239185326
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.1446765306176022,0.14133824199371647,0.14501258181891538
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.11562220966379498,0.1366109490953297,0.12649752324663258
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.2350419330125201,0.23286988854004134,0.2355678026168927
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.24740899426564433,0.2532361619474277,0.2522288225856072
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.13029318888516422,0.1317044123951046,0.13220917509237948
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.12385049948729007,0.14149210780550595,0.12967141054970985
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.14853831102162604,0.16680324942798522,0.15888639508030397
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.1029105297740868,0.14125803040595064,0.11751327084284205
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.1762928014997567,0.1612147486326163,0.1722237220694654
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.12256015253223854,0.1381285731749847,0.13094036820452812
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.19095449833715492,0.19973078802642272,0.1979305366839161
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.16667694367531335,0.16708414742292005,0.16850152990045264
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.07942480903115803,0.10764112964859807,0.09365037495841771
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.10670529404261514,0.12611001245800718,0.11341401338178891
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.10316590680579783,0.11322718513230622,0.10621954169378245
