id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.15793094797697527,0.14017992662400336,0.1515068961437064
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.053024652579980125,0.08980002264577922,0.06160069898363273
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.1264851670020215,0.15626429974448547,0.14481363445700532
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.12620480583575222,0.12122867656213121,0.12544199727106425
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.07783398953955695,0.09898936031360456,0.08879196837096569
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.09224656322025167,0.06924870705452148,0.08087084911060867
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.10106029816679932,0.20284336053592267,0.16636184138663004
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.11638769720329666,0.10582175668123904,0.1104949109352968
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.23130996944560536,0.218075566632192,0.22671876375526648
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.10262481934958025,0.10369842562116172,0.10240052336422455
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.10538348959623738,0.12932309764612135,0.11545142513871538
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.06499204918019834,0.09466096187827658,0.07262376008337142
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.14525156505018208,0.158860929683719,0.15240500028054996
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.13283676101509226,0.1640850932536173,0.1426577683547744
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.1717863246299126,0.19408143765734065,0.18458733120060192
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.16643938506789416,0.16424068753851673,0.1669160848278008
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.1671544237460466,0.18893902648768568,0.1798399104644204
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.23502292092627938,0.21868993673627649,0.22967792377014337
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.07445809440097008,0.08567611821405381,0.07755990795716211
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.18111705636718264,0.1651208326744495,0.1747188120529094
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.06356546236834376,0.10441883443359143,0.0749471132700358
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.05573919820697188,0.09023399488102105,0.06488678153379945
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.12110584290251272,0.151933063347383,0.13530950852878695
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.14634365757749487,0.15823261788213036,0.15328225517413785
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.10671491712489355,0.14182506960920183,0.12328677969318103
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.23279350896603526,0.23042589647832942,0.2334266817212855
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.24914855231864666,0.2561146181346926,0.2551485650712768
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.1269078488055913,0.1309670326456682,0.13019983435134963
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,0.11852917814826612,0.14460112554300197,0.1255761231210309
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,0.15529754358926753,0.17441471100312983,0.16586141031320276
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,0.10088148766967321,0.13905586347906737,0.11373352833374853
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.1702531782354971,0.1703067602066238,0.17225520748765524
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,0.11378828400535483,0.15297429070119406,0.1350881795478513
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,0.19461011760504687,0.20629252854363417,0.20504711478829524
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.163935666201822,0.16608716936554105,0.1664966082394298
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.08419756378507501,0.0940634851293327,0.09012784014705108
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,0.09663418729228507,0.1570820871126898,0.11499273100462672
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,0.10754308342423588,0.11658528281910639,0.10820569938472635
