id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.5857361461470697,0.4813778285141509,0.6113283647559493
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.15975020143326665,0.18952673404165207,0.27728805607568274
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.28945966057984124,0.2289431756277226,0.2773398771744541
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.1691492822878349,0.25129396159967293,0.15403333576873435
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.6676057121691343,0.5233045918341295,0.6416391888066223
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.6953651968450111,0.6879443670503493,0.7407247221053586
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.6509354569225028,0.207519813699696,0.5295937168907576
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.7927917108244379,0.24403450154142634,0.7259764357180881
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.45756971098397897,0.35125992104967746,0.5225545290077543
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.26417598201607095,0.6902015437416853,0.5219368458931937
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.1444361190998295,0.615097496526615,0.3437471590710321
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.8401498766110785,0.33931806824475,0.634748920400784
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.5117740640582032,0.5363619800933588,0.5280124583955581
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.8097213296133178,0.4233123177512173,0.6344278331265842
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.37204164220453395,0.7089299631858808,0.35278648875185165
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.7649990182305905,0.35432214418112257,0.6747035132192079
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.7330516004153725,0.3836650859086309,0.635625702903265
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.015890282859726886,0.5536510129157709,0.40954341301185454
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.7384467758249623,0.35230300817548976,0.5742811837370922
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.3991276376921027,0.3412571803142634,0.5264710844407473
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.2836854795916101,0.2971112610284289,0.24363159009311586
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.46595945243220654,0.5779085930562657,0.47055642799942315
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.47853618344982984,0.47165819508553725,0.4943751351100292
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.47611768856023245,0.5860093119638258,0.41612410054611887
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.3542158676932442,0.17377673713406686,0.30923715868192103
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.5887774109692238,0.4385878343447896,0.6362315619414345
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.3238652223335976,0.5055126921729506,0.4753543163420006
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.7954496099589067,0.4797748707901971,0.780852111810736
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.3274603320119776,0.2284700034995435,0.22497039246756825
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.24121576571116657,0.7446515803238487,0.2999450672598495
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.6812561375632473,0.5322097452555079,0.6668399341645578
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,0.7521079953489457,0.564800879998366,0.6619846584746113
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.3700483861979865,0.30726568731167464,0.27908177791057676
M410-10_v2_trim_mvmt,410,True,10,9.0,"(71, 7137)",M,0.45383385031739576,0.36754168108107993,0.3932628805231096
M412-8_v2_trim_mvmt,412,True,8,9.0,"(135, 7515)",F,0.8223589155954817,0.561107175714396,0.8001118041361313
M412-10_v2_trim_mvmt,412,True,10,9.0,"(101, 7163)",F,0.6214233493802174,0.23405173602784654,0.5296998323125013
M415-6_v2_trim_mvmt,415,True,6,9.0,"(131, 7585)",F,0.5813273656645682,0.41907506267353906,0.5624053278914728
M415-8_v2_trim_mvmt,415,True,8,9.0,"(62, 7420)",F,0.6291334646082742,0.43138508880518744,0.6335785931822949
