id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.03489793354145592,0.5490571165841156,0.3748784774579201
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.36762107899050367,0.13569950998533395,0.5479524275274598
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.6411892219253712,-0.018096437211796178,0.5349315043458127
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.3060215385739439,-0.00981146143632169,0.17534314622615918
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.4826503367371201,0.42504291184758597,0.4891798222161753
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.8011961858523894,0.6850389344867543,0.7837272786005048
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.678023780761955,0.6526567712206933,0.6538956683342773
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.6999553998832985,0.4811572387123631,0.6797384457195259
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.25555305161205133,0.5883817496463144,0.3312469932251376
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.5547811348072829,0.6160721841419744,0.6472467863810187
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.20526724077132644,0.4805390825267667,0.26366597290840577
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.7753778146203874,0.6331843161594013,0.7240147483101782
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.4553651091290607,0.2703998600321521,0.3975675243834517
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.8820053288993516,0.6134550894565824,0.786484834143307
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.49355476388536923,0.6850509083172531,0.3914362903157291
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.6024169713608145,0.18430529769086937,0.5674309390890483
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.7373089432593819,0.2628945380646361,0.6091481426919263
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.218200559100251,0.5143408489457857,0.4311702516229766
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.5858489936271493,0.3323647066883378,0.5567717807437209
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.4156904834992256,0.24464722379544598,0.35576124024081385
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.6110904638322318,0.3898235273242932,0.5630185080652148
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.3644225013233969,0.48724257596486725,0.24691039936628903
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.3474663287037555,0.27305616104637676,0.3168228900065505
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.42339720749503806,0.42746537458170725,0.413349430314425
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.24145021901549352,0.30426438738774014,0.3012583328496297
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.22792649406466026,0.2859650378097794,0.2392356916914497
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.3161998322434024,0.31214879742253937,0.4110472782280196
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.6946372268385631,0.5140050833547359,0.6687514081316682
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.4492401994399037,0.3238296388746217,0.44978018978045375
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.107621200848214,0.4035286763205184,0.1129103425539848
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.6400965271269069,0.6526264754686151,0.6007230107118328
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.21327368399721813,0.42907550399628513,0.2202592550518579
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.23295986800148574,0.09163343523948701,0.16164811688009853
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.30218078604904436,0.4136034562015957,0.4286817135457157
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.4167446231178629,0.47506700250875805,0.5303736446117157
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.04196139503655684,0.060579539537742116,0.01353894579246233
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.3747175509060687,0.2397921479665125,0.4639982348816706
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.5213888572710546,0.500294501159894,0.6411786201934322
