id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.4254711930704329,0.5302615094282833,0.5428217224932068
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.40911296184550167,0.3216523755588325,0.6116730560177394
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.7777285406426611,0.6478521996582142,0.7268840498000174
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.40817541845883043,0.48949775341086255,0.2824094975508741
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.4855182825548732,0.4895935410844821,0.5181416456208482
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.8101679503740543,0.795255211959744,0.8312593845648008
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.6719944328654278,0.4485972772416325,0.7368544401387755
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.7204687731484516,0.4614715781323968,0.7011500679006142
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.3055405957390314,0.6155199571557215,0.37129845707766357
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.47293834454821626,0.6905275473021836,0.6910160620955026
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.15509689848712171,0.4364575010827098,0.23382953271432108
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.8743675085999146,0.4828904344770807,0.8286226367004687
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.6015451800842504,0.3878931904434583,0.5531501148782486
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.9068293114661062,0.2824011258151535,0.7849972582042086
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.6165880821417561,0.6400133156256853,0.4846438125601864
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.6721148317963351,0.04919039053684324,0.5724981297266336
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.7382845086208599,0.12230064980046272,0.5723263287629571
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.4616608807836418,0.5149541729914147,0.5075346508979197
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.6270632615993017,0.4875797800962749,0.6004793654244636
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.31267668208518934,0.25979248480279,0.3565789966779759
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.6011044347046016,0.38052553713961107,0.5318200860126275
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.4281319677211803,0.5763858534172199,0.33169575479245433
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.4634898584981981,0.41079842894456287,0.45400999469813813
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.49299682859634103,0.5602210000692149,0.5400801897469992
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.4136213288361645,0.3976924765237442,0.43808805610707185
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.40279204801101354,0.47785148740563294,0.40535649569727916
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.3612796794174976,0.45050558528135276,0.41354681920829883
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.7664537855098927,0.6113113034018742,0.7538463276153436
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.5916944605866583,0.3931401363240741,0.5561961264667598
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.10445921329518798,0.5904947799356177,0.15264103683643154
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.8266267349506075,0.4485771094544973,0.7408728678506392
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.24474496000207863,0.47242592729312644,0.286760059678383
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.31691436713800303,0.09014112083857602,0.20493143220948706
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.31329845326172967,0.5114091716593346,0.44035320307162434
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.5003724578893856,0.502763749379748,0.5747715498926684
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.270821226790336,0.3571056578996512,0.20003372093625565
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.7540898040532444,0.308050275626129,0.6932116739636071
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.35834537525290916,0.4936828381051197,0.57359015758304
