id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.11691866134393994,0.13152737987614932,0.1261150143946799
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.059356216241674656,0.04989304838219666,0.055793568746324664
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.1404044689702674,0.1386690936238064,0.14159079772561844
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.1891225770017132,0.18253491941632602,0.1914815199666201
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.03766776548805911,0.058940609158485036,0.04488790241981116
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.07383625281240641,0.0869731569687617,0.08004898452359972
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.13062610191711743,0.1502360485459915,0.14160109100162963
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.13614948604162994,0.16020016711497595,0.1478461006867546
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.2537258598857894,0.26085612749681336,0.2592719985174977
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.1599701493148903,0.1677585281036434,0.16665880682471435
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.15801820635924432,0.16926495035175596,0.16650436152723933
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.07169284157758782,0.0863535338604803,0.07918322727480652
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.09887171284785594,0.11277593949967477,0.10467637489798978
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.22498614139822443,0.22637292704806458,0.22821818859500326
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.18748656748713383,0.1865510597249283,0.18932242428872276
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.20957596531385203,0.16340617925059792,0.18667495609669169
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.18878993573997585,0.19962222215256054,0.19701160535741385
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.22264226349948082,0.2271020394653737,0.2277373380307293
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.1627539455395423,0.16978476422723032,0.16812924320298617
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.16452622579702178,0.14746087458869314,0.15796954595012674
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.20369008375631484,0.20901583111567135,0.2083847700815042
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.18192677302034627,0.20002820823187842,0.1927252554557346
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.20338288314797462,0.20506422765492005,0.20621093687747558
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.06539229914592345,0.10375503450249908,0.08397510776992577
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.09394209426191899,0.10415072069615076,0.0996187771511607
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.21032646981117042,0.22516257842818024,0.21933006122713747
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.10875330910369371,0.1251972374376355,0.11310983205233206
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.13863402982668493,0.11274074048778533,0.12677497408614866
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.22577122380967451,0.22836848480628646,0.22965991201117592
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.10813983269599464,0.11786253878076963,0.1133205808929887
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.13497996152127983,0.1449966193117684,0.14096711025073178
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.1873112917237304,0.17310101600986555,0.18369727101640965
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.11423852726397256,0.1039029480255453,0.11088431606672958
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.21682411364717988,0.2171716682685096,0.22023907839971082
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.13832898034799687,0.1212950154464224,0.13138891086159238
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.042341576794395284,0.06053194978031871,0.051367733367819156
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.18509363918378832,0.16911480254160216,0.1779254410306203
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.2280329986981304,0.22632652364567588,0.23099261223115308
