id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.10077479497568848,0.1349058329375797,0.12140969928993227
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.0755198232328769,0.10053056087878347,0.08862483857266966
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.13390671187826533,0.14482512872218187,0.1406023054354169
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.2030009379699203,0.1900464184122549,0.20099964469342244
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.033615078466930036,0.07837766489460446,0.048619384892591135
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.0839263117556636,0.08529757779970165,0.08430698540420763
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.08006302888615965,0.15875834879365566,0.13474888372178045
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.16443249785934255,0.1492256940529399,0.158686443578719
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.25012609525443963,0.24485846995985372,0.2495966605207671
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.16894803572622893,0.1541643723620726,0.16320053626439252
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.17131939218720046,0.16318659906392072,0.16809809375155702
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.06717238196738015,0.09227685728476083,0.07807202215140753
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.10067327990121365,0.12099753870030756,0.10982509633947239
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.22314934076641701,0.21879038342307042,0.2236264361601036
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.1813508032482205,0.18520691405913736,0.18554073194458406
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.1952069091345626,0.1917243872197787,0.19551738716087608
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.1870643921896063,0.20206498529973307,0.19668578634106626
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.2253369029317964,0.22654667894359834,0.22858733548888197
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.1675089758437025,0.16050223147655954,0.16638876647923398
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.15830072599178288,0.14821862417622486,0.15470300391087097
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.1994247413654783,0.1922393455797175,0.19903360880232215
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.18397269792548482,0.18739452082945637,0.18732008607727463
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.1880326003704611,0.2103031063430028,0.2011324951043577
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.06940251864015949,0.10092867349919626,0.08385500195403714
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.08387553611185099,0.11479241777626166,0.09828762108443245
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.20980842957789322,0.2313998546901065,0.2225464533263176
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.11068316797952735,0.13563765907026745,0.11367510895416298
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.11658256210111907,0.12006891242134617,0.11904645464770085
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,0.22876564733458088,0.22751157128984859,0.23252018658804344
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,0.09752547561851439,0.127411636915154,0.11012225700584087
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,0.1392224548511283,0.13282419988013933,0.13708119125789253
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.17317820355978336,0.1849234119831448,0.18103901986798504
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,0.11108013014168334,0.12897106452478507,0.12118891807851083
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,0.2079716481371703,0.2370272025017511,0.22538662875055043
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.1134461814871948,0.12239470364870748,0.11859197557033506
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.04042983154392587,0.06172948934501215,0.04965968296016903
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,0.15903072405896163,0.1791353485843258,0.1703176485096349
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,0.23408961133053702,0.22148802457131947,0.23097829846545326
