id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.30234450496145476,0.44165587762634273,0.3844794498372877
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.27077478705976665,0.1329951749075403,0.2542126106809622
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.6296198858930762,0.657145244820498,0.6614439731869435
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.03735481229624527,0.16516617056358385,0.0793335253256556
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.48972035440150385,0.5415332609240985,0.5340656321706175
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.6306839614773821,0.6910220983023849,0.6815044995796325
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.7197921949591202,0.45256999362772327,0.6934161656931674
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.5515890290370825,0.32068506674854197,0.5876627136847459
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.3021755094473883,0.5935017846707167,0.4097656109548644
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.581088967260774,0.5811787974543116,0.6799193179385401
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.12057957201674087,0.4788864229134708,0.21412330281285968
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.8332279053502825,0.6184555532298142,0.7508259821495269
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.27751167893085976,0.2962512961815577,0.26132346956267555
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.8019192108017593,0.5938507777469212,0.6601096139139625
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.4219641830749349,0.6802890856881785,0.4683390405117072
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.6630335694045163,0.08856118500475987,0.5304505450535343
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.47843969800202374,0.17846987785498997,0.312106985694163
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.2269665586980183,0.4610260109216274,0.5538475929636387
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.5079128676726864,0.23524972044762524,0.45038810497072224
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.08274520543452366,0.3107724024602302,0.21402376913034737
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.24752740380578175,0.38717220932054236,0.2004850350328089
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.3285872931114902,0.4769263968125025,0.27878672527044884
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.4344201969775119,0.3456241907392448,0.3703134633097207
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.45596275600116065,0.4784668090410864,0.4603457808793127
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.25887743546226016,0.2766326966196702,0.31352024901994857
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.2763275469151387,0.2887452163198425,0.3135571176704872
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.21540422547720756,0.3144026024882051,0.39047965275655144
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.7050181873722027,0.3640375392405315,0.7132093007918364
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.5000431909990551,0.2546877024260577,0.39914646944574456
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.028904055998704152,0.5633959171058879,0.11496034762960854
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.7597183932939815,0.44037168871683124,0.7108233945960066
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,0.6153831398053232,0.4982581821902996,0.5571154589883108
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.11066041930143848,0.12964362504016982,0.06849287165089456
M410-10_v2_trim_mvmt,410,True,10,9.0,"(71, 7137)",M,0.4953035834939419,0.4869809415646638,0.5784045154657134
M412-8_v2_trim_mvmt,412,True,8,9.0,"(135, 7515)",F,0.5501018078587331,0.47801021744493855,0.5577752008780149
M412-10_v2_trim_mvmt,412,True,10,9.0,"(101, 7163)",F,0.164254557529057,0.055166764904262755,0.1173581969525784
M415-6_v2_trim_mvmt,415,True,6,9.0,"(131, 7585)",F,0.48011008263766713,0.3224307877307361,0.4832840612827003
M415-8_v2_trim_mvmt,415,True,8,9.0,"(62, 7420)",F,0.5349774854491699,0.36573722624576804,0.6654636214879562
