id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.6188269704023486,0.2343904854842764,0.6001457975972777
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.10811988757743876,0.11833853994918196,0.15008654406539496
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.7148156684743215,0.20823729751001172,0.6511356145245016
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,-0.030507058042484027,-0.1614139078518888,-0.034462949286921535
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.6067513993160136,0.5821127002183583,0.6762226214291348
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.7741272487604822,0.700408569772361,0.7921382659406142
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.8597157519154626,0.687479969172084,0.8434378458794036
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.8102129886409017,0.630994253292681,0.8123720014438014
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.7615687716432507,0.6784875406906193,0.7371473600414804
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.710098502164111,0.49650709984288777,0.8225928333472546
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.8845529244558338,0.7863935107850794,0.8517798867447542
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.6424978749890579,0.5496276247030354,0.4627610156683127
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.3219928437319652,0.2605526130531035,0.26068208243546814
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.7920456057865776,0.32219027712080617,0.6314319010878969
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.7535904958511179,0.5509246952093891,0.7910328021735964
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.6836674278441204,-0.26189354748822014,0.4538809190738853
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.7296127009460952,0.2502216709493002,0.5182502616847261
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9086069155387246,0.6141892649788122,0.8433274581101157
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.8476277374248483,0.36307233299255853,0.7901074935219626
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.8531824560793557,0.5660001138317756,0.8418083570631224
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.904037742265499,0.6741864816878095,0.8467151745550486
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.46926881458222475,0.3603132359359972,0.7247458470303414
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.7088706083211923,0.5245782855028724,0.5878962018903054
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.8453383155470368,0.7821128132823462,0.8447857185510175
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9466789636048201,0.6251136360861197,0.9228959535501399
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.937063188385532,0.5171008685665398,0.9185069666056244
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9361104224624567,0.6936095823819992,0.9318830602455116
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.8263487993125982,0.3769405381892724,0.8404652647477442
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.7921725760416579,0.5046058375033394,0.709118523191234
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.897639721671015,0.5792068877164792,0.9126829449719717
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.8409492870822658,0.38057560492378,0.8129696106310379
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.6759045648236903,0.6695528959131958,0.7505917014711596
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.75261052906222,0.486784753721443,0.7893636504241691
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.5264913301028928,0.44162582331692574,0.49188449528108824
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.6845312757028953,0.6012611370404579,0.6923544858152992
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.737033443835754,0.42167417322005046,0.7336885270992184
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.5779995973249257,0.12586130600123907,0.47967654511535307
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.8665047891643125,0.46564312504002736,0.8065192160790169
