id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.751201024702565,0.38983919445487186,0.7464638221414424
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.23175383309289216,0.2644902880704347,0.22422980850329496
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.6293429544063042,0.17015293061916978,0.6209739983486285
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.1682386254810807,0.08012515343000515,0.1492315729327462
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.5595497303194802,0.4359440724457627,0.6530047328200748
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.756603766809319,0.7304894414733061,0.7905347270274654
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.8475864644825174,0.7457380396846126,0.8265048857098077
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.907350226879717,0.6953962316587362,0.8991047215910706
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.7988357108729905,0.7518674127344034,0.7979464429568478
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.7453037532176547,0.6626982029753385,0.8626627572246292
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.8900037487728403,0.7741567046728045,0.8573418714639739
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.6375845994186902,-0.0667759061570377,0.46612865873581355
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.3763756916802696,0.21827590778353764,0.2956492717898368
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.804632609259468,0.19705290321432586,0.6917300234065535
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.736269204563089,0.48452470675911585,0.8018583226372022
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.6778432754747984,0.20063505477407398,0.5907624800450226
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.7171928337788309,0.4190914241583509,0.6006760191549914
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.901219037734253,0.5227255120944951,0.8441048572012353
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.8483801062126185,0.41407252586252563,0.774664763721736
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.840201765344531,0.5403263099604444,0.8486561580953282
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9029385991132161,0.6505325117014344,0.8524675311415549
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.4651316885246021,0.2494076074815883,0.7149796315152005
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.7078428710941088,0.39780094759508455,0.6452022520106772
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.834832940956726,0.8071638529421412,0.8822837671024095
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9486290411872325,0.6976133511875051,0.9273085813350177
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9471828768610594,0.3398273062372822,0.9311064582066371
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9437710229593569,0.6801024028797307,0.9308187798814646
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.8124093223452677,0.46700693062503323,0.8247790810691837
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.804224708762038,0.6342692167810567,0.7805890435346035
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.8696769095029998,0.5527565659901392,0.9096270290101987
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.8137829769999934,0.49798325134117105,0.8124426759116632
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.843797154383048,0.716616781782427,0.8566625531911519
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.7878109718093949,0.5822604836660001,0.8013508948374184
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.5621125417263502,0.6745705356110162,0.5533935215595759
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.7203282955833455,0.7746245002026485,0.727779433157084
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.7953398189942796,0.4943627109489294,0.7743598096652048
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.4634096456111252,0.25305852304168835,0.5336968172693434
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.8796500885949508,0.32615487654476205,0.8207514778107141
