id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.019182967252213103,0.020793571251054643,0.019796468749771007
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.049293075501184946,0.05935339031851302,0.054345192377140035
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.048412358383263944,0.1081564260525888,0.07313048442846547
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.17100255010298604,0.1617330243869112,0.17502378746779312
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.06181149007174962,0.05908417232751347,0.06004465546507453
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.10142825333683372,0.10970459141977917,0.10698902990199738
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.06810438652897502,0.11195031421152701,0.07936304317606502
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.08908019329002435,0.10521262813304898,0.09837132144819069
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.12803305018397873,0.12655640324142478,0.1286086675292475
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.056196957669492675,0.07092183887528582,0.06405554328284005
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.14323617308888648,0.08928880884400324,0.1132614862468224
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.13104519146176313,0.15634199546349078,0.14459353057394317
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.15804203854453938,0.12903187676572148,0.14482667099999388
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.1474851354776502,0.15327585389565676,0.1537782418020596
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.19512670250317166,0.1711004428011669,0.18216054976191481
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.04379928689872597,0.04655445586941348,0.04654790443446384
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.041905890655182514,0.07078251109613788,0.05587600295449127
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.19945774256116458,0.18050072666966532,0.19151620217304977
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.11435053221341054,0.12133159782635455,0.11887776891755468
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.06854150358763948,0.04472934045379098,0.05567770250918732
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.05172660876610349,0.07851424696752399,0.05730726280376737
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.1232593622247189,0.12407241510037435,0.12530687384991193
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.12437084309621875,0.12954054501134535,0.12791380373075187
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.07848998282348173,0.09728351195336335,0.09245269754654381
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.02599298735369433,0.04094352885496653,0.030577877510200517
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.06601936531198326,0.077925637592209,0.07045502051860968
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.05884963091497463,0.07401883588582883,0.06610364110807254
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.09651555547532338,0.09279129847908256,0.09553108996628663
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.13750914576182383,0.13595909884168497,0.13778404646943607
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.04239266149897633,0.06649248416315869,0.052197679552673605
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.09773018745830694,0.10156574971735703,0.10096964010906986
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.04668220411603705,0.07367357644564851,0.06025471823681602
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.09965501285699316,0.11174622174647374,0.1062897684893515
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.11195218248168548,0.12005934052237649,0.11546778106033406
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.11889343116064637,0.12140107325396209,0.12130309574264213
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.08955835074045043,0.11023786711249556,0.10015019441475895
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.1408763455568013,0.1519083833624048,0.14766314150917736
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.07824156903476193,0.0993640528970808,0.08890907083368405
