id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.02569001168374327,0.017951509760238762,0.022506603968852117
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.04308942757823732,0.08277807751618332,0.05934850069167757
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.05529136602756898,0.10109419514248852,0.07621816134794393
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.15690993184164787,0.16673521252089218,0.16795014858543908
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.04757670617735048,0.06155345543379324,0.053235626568816266
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.11693549805507704,0.09780783056404256,0.10970205335210997
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.06635388604306652,0.11878707380064434,0.07741943004593366
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.10665667791554345,0.10329621354913322,0.10577964669002377
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.14926277646427102,0.12312771592241846,0.1362190107716697
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.0659269270311404,0.07107389043741076,0.06935711502670258
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.12049891859078507,0.11065670261270993,0.11605659427648332
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.11661021270096009,0.14685062547417016,0.13325965641487833
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.16283401087021246,0.13076381828567932,0.1482834854989871
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.16207731517689905,0.15207242674667643,0.1586342448181125
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.1565125896081912,0.2120112803752921,0.18257588075706846
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.02605394932755505,0.06667738106288194,0.04514416218953167
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.06539949795612189,0.05805578811380899,0.06212281726927436
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.19172546102301286,0.19766091001114075,0.19662294953497342
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.09955464487065614,0.11930983592819766,0.11054350600246216
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.06220323823280646,0.061187338072549786,0.06071700042015067
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.055909116533574325,0.0785631885980529,0.05949502110855072
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.12368901719427798,0.12962334030551587,0.1287771714074687
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.11966869291904336,0.12755890703963976,0.12223646984957727
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.09631111363020263,0.0746792076340168,0.08590177002466502
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.02411944604359829,0.04382254494454747,0.029426265931557387
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.064214141472394,0.07783513727990014,0.06669357925367209
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.06173905504341017,0.07307742722474463,0.0672473695906954
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.0865206534025625,0.10230894675004096,0.09468280106338536
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,0.1448863799985234,0.1280169251818443,0.13746470808832661
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,0.04950495136200275,0.06301771045136532,0.052225989191873684
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,0.10492771074601426,0.12085417140593188,0.11446428023494161
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.055975761458274,0.0570357787209472,0.056298297961693056
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,0.1027496682332149,0.11743269304559353,0.1118717728992355
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,0.09292326339867077,0.13755793172018338,0.11097882342114686
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.11454527433481278,0.12752393586911667,0.12214501869895902
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.08317016857375067,0.10910515791880046,0.09671578862108343
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,0.1349816079617467,0.1582293644584022,0.14782301873279619
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,0.0815399170757637,0.09375770143211323,0.08779872806757202
