id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.4668524932747292,0.22063006202544416,0.37974293252947455
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.3541774522227189,0.18269424774860082,0.314945996259387
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.40315494638751437,0.13131428691616684,0.2590096810384687
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,-0.14967423144957984,-0.0013224580068417948,-0.07589114412653113
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.586315093244193,0.3326347262973623,0.6585455278645274
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.7571941790238074,0.7226786370242544,0.744913650909677
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.8049835554698739,0.8077326837900687,0.7955133496331022
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.8727808414218807,0.5034226521030354,0.85073996466499
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.649604199577494,0.6801458845496192,0.7086951218207631
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.8078032538831161,0.4658764620668861,0.8093758531974222
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.8268474351537309,0.8277600577156811,0.8121800668437338
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.6797128777168155,0.3778691712078573,0.5197213327521393
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.13636734274313975,0.37748739750586596,0.19431602545855994
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.5606485981605139,0.4172097504905762,0.546769965769555
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.5384286694947228,0.6079897284612413,0.7453132903905559
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.5107468707688617,0.0874594297830229,0.40500024689248176
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.6836575096265606,0.24375051293428293,0.6289858948721461
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.8717274491733484,0.5507546505247073,0.807637698702005
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.792980450090839,0.4560322772891578,0.6700039938844544
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.7372333781035401,0.7231806533512478,0.767391599914882
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.6671889940334085,0.764027268856597,0.7145491893683232
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.5520448445887401,0.513503390625692,0.7221864154751794
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.5606879914780187,0.6469032744446456,0.5794920225930309
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.8414757860334766,0.7553136390968525,0.846589604319708
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9262456988180862,0.4768269236726727,0.88955781024959
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.8766336700089784,0.30271115146880145,0.8749934217884466
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9042978381355147,0.6084759100212945,0.9110455480302739
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.8746222947904227,0.5781055452523637,0.8455174280775848
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.6078489445310321,0.636967272805637,0.6003754561080255
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9012554573846958,0.5722239135724556,0.8912989291754941
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.719573244908202,0.553533896308131,0.7800836389996786
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,0.813436981419798,0.6686714065865067,0.8397207849826438
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.815175940616695,0.6327074371945988,0.770534040141178
M410-10_v2_trim_mvmt,410,True,10,9.0,"(71, 7137)",M,0.49304594324433204,0.6077626813705449,0.5393995696368213
M412-8_v2_trim_mvmt,412,True,8,9.0,"(135, 7515)",F,0.676021207342078,0.578289173629897,0.6942751161605974
M412-10_v2_trim_mvmt,412,True,10,9.0,"(101, 7163)",F,0.7107672973174652,0.6019969072705789,0.7188477114140613
M415-6_v2_trim_mvmt,415,True,6,9.0,"(131, 7585)",F,0.08002410843177643,0.2923573710620761,0.12318427471686462
M415-8_v2_trim_mvmt,415,True,8,9.0,"(62, 7420)",F,0.7899875830413737,0.3741683839182455,0.7168494522042491
