id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.3246814516113538,0.5226030209900803,0.5548837520775496
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.43109715951561983,0.09618491855376717,0.4496297544846125
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.591726210937457,0.37866771625647355,0.5823433982389733
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.2757385608692372,-0.3332389598331373,0.20016808246876788
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.5762775733397654,0.34270353845319335,0.584209746197705
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.8120241985203401,0.7649948435102123,0.8507196546102144
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.0565268937088685,0.23134964851280543,0.04748433895511011
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.7425466773782474,0.15449322900038115,0.6885222402647837
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.46795260644531156,0.1958655468788218,0.41258519530141063
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.5294025396051159,0.31918301014306655,0.61721928303587
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.8895605037465588,0.7558743011554281,0.8707037356343702
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.3427301468065935,0.36806867086590017,0.42992662700418344
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.5353962344059419,0.21421165734931352,0.46692599193981354
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.6108616605537183,0.347156108859957,0.47713370191204096
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.8679128213492616,0.440016148984148,0.7560050526162376
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.6580354916304527,-0.0076088169337039215,0.5765365450317924
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.8043513985548858,0.1217043523156851,0.5333140603390669
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.838406821854752,0.4445267946697591,0.8140446975282758
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.5900362126446228,0.43145339404747923,0.6097498232287158
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.6839969781692408,0.30608506719705697,0.7011581563119081
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.8027005452076909,0.4207667336837741,0.7957769866367839
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.8727423715755642,0.6952923619024635,0.9192233748182351
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.8504935314190942,0.3913791720566482,0.8018668433726901
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.667214977731974,0.5188979297799342,0.6741710845175793
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.7659105015980702,0.24911139805724836,0.6918979049921927
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9021939028148755,0.17937081608988592,0.6838292349594476
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.7562457067774158,0.24363215027242338,0.5871604332536927
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.8422678134550835,0.1655347419261949,0.7880834443343265
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.890817010814115,0.5263284935520648,0.8712645581443433
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.8613720012905255,0.26745415649969384,0.8367547821822475
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.7620678993719692,0.5084486912645467,0.7130028342472231
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.3709866434135049,0.4096431281815529,0.3455945230802877
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.36142151542021467,0.5394982702373081,0.5279315056026466
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.5143804644209515,0.467928334337928,0.511042997426726
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.2616055506530328,0.32235832402946735,0.25556532266125875
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.49646932609842603,0.18287992924589314,0.2711823588659917
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.7075464630293082,0.060592407785831914,0.3855668355461517
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.6641523650390574,0.38152485829869937,0.6643234227163299
