id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.5957805303741593,0.3227293796464773,0.679263175056302
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.5408158533450138,0.15053362963254474,0.596935522561928
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.6108430187990839,0.32443914640263866,0.6184898878860464
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.2580211898665703,-0.11077836043224461,0.24598111370175468
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.5918285783092372,0.7654804777006198,0.6325038468882103
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.8689605852948157,0.7903970872442891,0.910169857534444
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.13222199318676678,0.4660769581870943,0.16481853285413647
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.8084080014115786,0.2890579024568882,0.7767021919765233
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.5128337243910084,0.2660540751925279,0.5487275304333057
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.4882014518253225,0.3838051924621271,0.6569347787066828
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.7561380286078481,0.7421302846582626,0.7922117959854332
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.4538131425538789,0.07175266464252429,0.42759800319667307
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.520010327747669,0.31880274462773595,0.43785312530570597
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.6006265030100503,0.3790757886838756,0.5439375221404328
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.8742340478416643,0.39220862844271503,0.7507755945085245
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.679768109179837,0.26358908847514695,0.6076732318093132
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.8368029384738351,0.5123591420831717,0.6659892000216824
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9146114012762259,0.575082928174838,0.8985918402503297
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.5526882943658378,0.486279885332418,0.6050909382223701
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.6765040147649057,0.2047953936230072,0.6951232752545183
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.7561167840643874,0.40869816933748804,0.7583053878767122
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.8762117567639603,0.759230263139161,0.9240736881391639
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.8898582136842775,0.5709498688834541,0.8846313513060248
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.7638554435500984,0.6029240073674299,0.7435243831894431
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.7354797458442837,0.17312220357612165,0.6226312955096608
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9159424738316897,0.4976125357614449,0.7296571434346522
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.7195173232835272,0.3625987704771293,0.5994254679799633
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.8391553905245793,0.2516311336434739,0.8119161246693345
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.8597890402251113,0.6342732460581266,0.8591727779161217
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.8587949645746991,0.751811371790989,0.859282638661887
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.7559891679128996,0.32127881581500733,0.6962543351060511
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.38691346382784875,0.5218280432620774,0.38336063466553494
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.5442972929557947,0.5653422828825031,0.5646927075523231
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.4504457251021958,0.32664794288254523,0.5951437152298276
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.7278012552009999,0.5037912384908665,0.6711191991459506
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.403020682989874,0.39921483174456357,0.35753577586797936
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.7738187660305723,0.5587524876696315,0.6049691998848794
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.7626491301939108,0.36768751610659817,0.7323869449069855
