id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.14323221488236937,0.12134017919156695,0.13501868758854593
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.08433420303333464,0.08743867747885214,0.08721508656809669
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.08099662809627993,0.06815543531791732,0.07578940641174739
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.03862175056782728,0.04671401064130963,0.042530733529001934
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.07519962991069307,0.0728260655919769,0.07498944852737667
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,-0.028601672282465965,-0.03833139290952497,-0.03300924354095544
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.13415168909326378,0.13820550316974453,0.1380247696082593
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.03496016603755888,0.035577785260409445,0.03539926890625802
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.1269164789349157,0.11177191785688737,0.12288355761143674
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.059231116096125254,0.05968289188062515,0.059651316544960815
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.13496490190688384,0.10095870119741335,0.11620256226075361
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.12445318822586676,0.10361269846410638,0.11335890843392611
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.09976695297829881,0.07695345253326175,0.08666556423466253
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.2671023496578484,0.2817243623897294,0.2773636263609273
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.2407455426193196,0.21691429212002966,0.2328850165145329
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.22302017301981972,0.20710479933335235,0.21811080387201495
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,-0.03332004960376972,0.0005372216818796851,-0.017387031067864687
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.07542386125942707,0.08807053029379303,0.07874045605450171
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.12119535145841046,0.11926809653875482,0.11847753807386106
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.08071077063466513,0.030127873452406004,0.054221333067855516
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.05942413873401874,0.09984206762478524,0.07673257424224994
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,-0.060024107866218895,-0.05844496360625292,-0.05977734871839484
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.05775764392439158,0.068351885539209,0.06313700653080377
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.11445935165139837,0.17316755125161543,0.14394703483159454
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.18685095888195152,0.19806167299691804,0.19397114850213076
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.18705051270340012,0.19777725058428927,0.19449712582930845
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.18230407680076657,0.20075537904441804,0.1922183900641278
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.11843312124601774,0.15947680442535747,0.13974499197860255
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.08233079225451406,0.07836296472518547,0.08082664063289183
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,-0.002790688207538502,0.051904910821239277,0.02454085593968001
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.18526811592112064,0.1988600816464018,0.19303937758723588
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.12373672913932711,0.12982362627478747,0.13130911785706162
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.14570009690626684,0.12581925295771543,0.1384133881017611
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.11319018557032237,0.12784522987541488,0.12217512088118411
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.1140567605088673,0.05976220616788002,0.08797752454069727
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.11646200894074486,0.17817958851079851,0.1449862829367498
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.22237073622596434,0.2036834534475006,0.21538529196292783
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.20800200941009234,0.2077592661901466,0.20955896539766422
