id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.15464240794355907,0.11697951444028772,0.13607175530248827
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.08132987541790786,0.09720199485838153,0.08991675626911168
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.06820414992635591,0.08601783865440879,0.07768548930404191
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.049383883870082385,0.05938373388237222,0.05469173790766208
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.07491979600788312,0.060651280947621775,0.06903709081802294
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,-0.027952375808258996,-0.03513691505826061,-0.03264809896662791
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.12327034468598118,0.13972119438005534,0.13415710908380973
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.03816091575911784,0.039884326841570214,0.0390604201740757
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.14028204633623628,0.10005573283932698,0.12586391387646714
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.06696955362662421,0.053039308492111414,0.06039542014724018
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.11512741585245319,0.10587837913386713,0.11108038153626278
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.08876335752390109,0.14368829276498504,0.1140152355491311
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.08948971707995909,0.08487847148591093,0.08440142596140295
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.274350605225999,0.2664613479355067,0.27363261795969956
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.22432022024023268,0.2353385375907422,0.2364212184098171
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.22230708605427285,0.19727744675522985,0.22034339072166348
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,-0.018281964216014388,-0.01823549639459605,-0.019414251634349355
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.06328935603619189,0.10799315195100569,0.07964267431380201
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.10370749545536377,0.13442544221786515,0.11787200057523262
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.05112586750393653,0.057856766126236484,0.053982225973823836
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.06933458480601468,0.08709749579750298,0.07571122856304084
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,-0.06570292252290988,-0.04758660604698993,-0.057821344202605464
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.0660751254665424,0.06406796727441853,0.06561023474862206
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.1529452140646236,0.1377218193946241,0.145184375515395
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.1738165717233459,0.19860907935090666,0.18579539660698402
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.20319550847354106,0.19859085739449517,0.20261369640576926
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.19438732966345534,0.19845162326077714,0.19687927806107103
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.11610312742704477,0.15280049245218777,0.13913816125112596
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,0.09109384975550006,0.06399208219579006,0.080135529405731
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,-0.008307140655873088,0.03272298022747832,0.011468191393406227
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,0.1788782936952186,0.1944388219818502,0.18858062901286457
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.12658503486972017,0.14374339486022306,0.13535079859317406
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,0.14454752234889895,0.11511614827493313,0.136177375265644
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,0.125079295477265,0.11361466214740137,0.11957392121598484
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.08494170475984063,0.08540089340271474,0.08577243623799617
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.14538659597027986,0.14792933533261937,0.14359342552586152
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,0.21622074471688923,0.20475273677201405,0.213509144579122
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,0.20738152934510612,0.22134488895217963,0.2157966830111232
