id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.7275203253852304,0.4713227725967401,0.7460464914436398
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.3989240090288611,0.1957930265458344,0.3922738300590339
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.664618855309584,0.27229460878266154,0.6216449471366003
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,-0.15854809018274987,-0.13165984636800868,-0.15817576835432381
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.6244763517885489,0.5500191135769077,0.6556047809336479
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.923065802880315,0.7093900192853508,0.9341618888141917
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.15588614829604486,0.10019750218646226,0.0960832365469478
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.7870976031723392,0.18406019585861383,0.6994549679452148
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.6067205759021587,0.14375337369661745,0.5000980250930233
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.5881586453484723,0.24034619648637323,0.586853456125972
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.8571898908287966,0.7601047669722166,0.8432559191214541
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.4508747909709784,0.36434772769350066,0.5263864614164064
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.43446124282791027,0.2791479527585105,0.438295425719896
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.3209455321477178,0.44139723236825135,0.37354941646349027
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.6865860980658015,0.7503141620094189,0.673487061210491
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.7474137471207636,0.23036138977267034,0.5944169692789533
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.7918267409740425,0.30830989352009935,0.7770293272468133
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.867419861935626,0.40181334006377245,0.8310342618570516
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.7579784553572448,0.5479435366040277,0.7259813407416359
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.6587451515874778,0.38083867171944374,0.669499448026431
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.7470262003445678,0.4697618141965249,0.7239470363429976
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.9217480293567121,0.6696694684797083,0.9316000163050111
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.8668118629917243,0.4093283386327455,0.8484624382009582
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.6145553061231339,0.4105576150239946,0.6216508368975575
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.5247120880295226,0.3282765370803975,0.48452662746136843
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.8639868546638024,0.4662250939552911,0.5626362218947557
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.6813701803290897,0.41257885399918925,0.5398138606250392
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.8156870662764377,0.2174400569763639,0.7263868383098044
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.8383349542712814,0.5600301825733625,0.8130422939994956
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.7961458208486716,0.34451702364350084,0.8138697219932639
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.7752988853218294,0.3938372678558983,0.7484462447715422
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,0.572874734786951,0.6652775768455815,0.6387337072750661
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.570956527342531,0.5893453667903897,0.569811507276718
M410-10_v2_trim_mvmt,410,True,10,9.0,"(71, 7137)",M,0.605242954742223,0.29761012352129024,0.5473274504474765
M412-8_v2_trim_mvmt,412,True,8,9.0,"(135, 7515)",F,0.6661400624808002,0.5838946415544671,0.6853432760358527
M412-10_v2_trim_mvmt,412,True,10,9.0,"(101, 7163)",F,0.28093956177480484,0.2932283733221229,0.2986803779803483
M415-6_v2_trim_mvmt,415,True,6,9.0,"(131, 7585)",F,-0.14933443340693325,0.4502740559622509,0.0023956608458452055
M415-8_v2_trim_mvmt,415,True,8,9.0,"(62, 7420)",F,0.6666460070397752,0.3603721073129983,0.5967291334067414
