id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,,,
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,,,
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,,,
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,,,
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,,,
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,,,
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,,,
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,,,
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,,,
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,,,
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,,,
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,,,
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,,,
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,,,
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,,,
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,,,
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,,,
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,,,
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,,,
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,,,
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,,,
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,,,
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,,,
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,,,
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,,,
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,,,
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,,,
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,,,
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,,,
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,,,
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,,,
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,,,
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,,,
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,,,
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,,,
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,,,
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,,,
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,,,
