id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,-0.10409445768984738,0.2528609737752282,-0.02567028108069169
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.13665742054382204,0.2717972686852925,0.2539171692516136
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.5661730404254013,0.01902250220106135,0.3708806901800705
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.09865505546987369,-0.23217670511794936,0.04753308208880748
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.39849498236280617,0.284559266575671,0.4138135893550893
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.4444359059489037,0.3529200323697936,0.4956331091041999
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.8485128558845166,0.27006005999476645,0.8848846739710142
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.6694739793491871,0.5538559400713714,0.7189242918848074
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.4358839982036121,0.6348023141464685,0.5168438330082844
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.8830405151785176,0.4382986038024354,0.8474303177139626
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.8279605369723151,0.6634987763773804,0.7921861314654197
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.6723963823246698,0.047168098689728,0.2434371562629968
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.5330456166249194,0.5405551155084741,0.614414445182763
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.6929688565431076,0.4056297775634612,0.5975080691120996
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,-0.1363253034987875,0.7463598174532129,0.24046183888568323
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.37062911533949533,-0.21993274940894547,0.26819414717000906
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.7121040869907164,-0.04831038241284624,0.6904065370457219
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.684140446786951,0.620082433476014,0.7140714309818906
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.8195691542767823,0.6656324240528353,0.8114239640366382
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.8964409923164193,0.7506715978070281,0.8817676412490739
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.8752647061827269,0.5910559912956642,0.8860388491348353
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.8323903641531822,0.5608800320533774,0.8117435628319117
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.5106491928146024,0.5770381637702221,0.5228246307605907
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.1944896757992759,0.42379757514639943,0.31512020850433475
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.7969920221294358,0.37919549076895764,0.7365638429295316
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.7784331818770123,0.3537820885530358,0.6790809847040353
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.19089341082362288,0.3149948457919747,0.3019020301020552
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9077976392147996,0.3537867527093544,0.6445351139175767
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.7562592867898194,0.5052894702376555,0.7003335114782215
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.925797137038319,0.4348822876595725,0.9017035858447819
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.8618160870777466,0.6192789448468816,0.8656838412683848
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.7308581511939343,0.8714671398425244,0.7634384109429444
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9126139762339948,0.715377740775345,0.9472792565631649
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.37560322359541015,0.5009486979975728,0.3527287883736763
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.6914551034778633,0.5483095962611781,0.6983842407583264
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.6728791017733676,0.22794816187036754,0.6693647933979718
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.23260626527525888,-0.3714347892292041,-0.044264635049663256
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.43525760307945255,0.5774052056500236,0.48878663375681813
