id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.3021932010411914,0.2758845093775789,0.2929570875043434
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.33848726160293,0.2035457226896199,0.29611366253814847
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.47952843993470023,0.07366203094630114,0.3679882454300769
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.5098365028764862,0.6077317163011399,0.5218268820009064
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.502306529459217,0.3099073807252889,0.4840287551932271
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.8502870748016649,0.4416565919967549,0.8488459384673718
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.830914237361592,0.23591799292407958,0.8672105100223229
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.808615986488212,0.5323080481229296,0.8352507814957421
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.6914410257160244,0.6046912952704453,0.7240830900918811
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.8970462410796658,0.5978561205737644,0.888769955459657
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.8242317480748851,0.6181392575519339,0.7736525592064682
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.5458568269495537,0.09679348383946797,0.2885757213419145
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.6884820298032395,0.5641331613042042,0.701028791691161
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.5400998853382528,0.2107588918610367,0.5590102529735587
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,-0.11843861668822767,0.7950340081556155,0.32984568313365287
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.7875935668785932,0.3643633098399061,0.7860697224024334
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.7206904768998008,-0.08416266208472734,0.6957752967996849
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.7474676881263613,0.46146919561689964,0.7219174188028517
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.7956484239982159,0.7188865968135351,0.7894255129264904
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.8960469918987702,0.7279099106988478,0.8861297604448168
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.8768442380281782,0.6793084249514095,0.8914153878239065
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.8341888436521199,0.5606305258725792,0.8058587543349333
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.5490159714734063,0.6256152329849826,0.5918880738020839
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.29432492579517033,0.3270238104711478,0.4337524605466784
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.8013855672488045,0.5361881396360265,0.7715456231920319
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.7641191202603632,0.3717929677624254,0.6859722130130461
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.15674561740767845,0.46650339248447575,0.3230610580394445
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9203804385661867,0.2387428973312571,0.6493967132674573
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.8197848563126623,0.5745279756045405,0.7629506997846347
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.8666039865313492,0.469489605018613,0.8560698187763274
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9429948698257973,0.6971678164799969,0.9371720497814299
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.7965287824675583,0.9041921097328112,0.8246950216588542
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9364852482084772,0.7677769465544413,0.9510911511715282
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.7032866262313873,0.6324190374649994,0.7030337130895633
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.8597878042024328,0.7616119926610727,0.8746071945579228
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.7923113885118421,0.5028029525278235,0.7620436856666363
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.42412232287002144,-0.22549354073305913,0.2213958386792081
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.48761355823188024,0.5482368059271366,0.5030800874084719
