id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.11530635182525466,0.15283401540480535,0.13368358468803887
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.2011771076041937,0.19272608766364385,0.1983439552716177
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.16767753514922049,0.1921307270855991,0.18065924788790383
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.059113348622125535,0.07086933625953551,0.0646348194911646
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.04984392635032329,0.078735969968,0.06423836323370874
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.07487782222689462,0.07674170178908092,0.0763279208564147
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.16365784723502091,0.18512396086469002,0.17312748829163996
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.06100392321105615,0.07522426745651334,0.06641137071583485
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.09081225581070722,0.08772859447341833,0.08993002763021084
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,-0.04289109719977935,-0.038627163005838315,-0.04079360537127044
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.22981402490307593,0.1739915763993654,0.20060827280766252
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.18169571640233498,0.16151421323973508,0.17181461369495685
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.1862380912408836,0.20161061826309704,0.1927663975778854
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.11974870138408834,0.21042502620369374,0.1594854042362485
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.2583396231206819,0.31274220391669255,0.286807440535016
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,-0.013531514021217361,-0.043768277350126616,-0.02885182111021197
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.1435305212208229,0.17524824379945542,0.15754793397253808
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.32613453582283286,0.34451913295330167,0.33608633983404756
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.09102067102289928,0.09493352413831482,0.09301205646037106
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.10215981607701297,0.06457842287629169,0.08263034401384933
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.09665600457872903,0.12641203689379327,0.11028017735902751
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.04725983893901904,0.047204958697998546,0.04636513078131428
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.2108843663731987,0.1954270573639252,0.2044817127659994
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.20120743855390236,0.20731379828716523,0.2022929246847677
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.03396623631834156,0.06442646678876852,0.047915105971955495
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.2912632122321721,0.2761555213288508,0.28636376305537053
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.17678243067011004,0.20808336877049805,0.19190248392610332
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.26205867054392495,0.2104568864458528,0.2355084623894711
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.17231629420573635,0.1510130195693407,0.1619809560984082
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,-0.011919127939315459,0.018446977882178715,0.0017027120014625142
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.01589079315293567,0.02960683912232274,0.022659955547157617
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.09798844917635355,0.10824265374664455,0.10348111979788881
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.11335533195780784,0.11544164834045675,0.1151105779241255
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.021356220120899307,0.05686059847017107,0.037004631379645374
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.08786468437217287,0.04113539136071887,0.06455161410082526
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.02179401801072786,0.0621290912506526,0.03934600634722671
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.12979777627451944,0.15790766653703608,0.14395788812170365
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.2597689213933441,0.25661905876362157,0.260148660679461
