id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.11890523607368059,0.14753826353960894,0.13229500525480234
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.22088590755975956,0.24918297172354736,0.23522897041928995
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.13055186916722364,0.23094872761868152,0.18267460622747775
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.08594318191951435,0.06432852359419312,0.0757492647251739
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.041305468318529305,0.1055180323255262,0.07147064583983855
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.12273827378688872,0.031798998884961974,0.07559518901053748
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.1461754573789282,0.21701297325487803,0.18329263498837464
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.06616856184820996,0.06905890875515598,0.06555461272715422
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.09526460230621397,0.09073958129767361,0.09348678705737122
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,-0.02247036584454761,-0.04407419353853852,-0.03260575467661392
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.2244808049067215,0.1725856790335839,0.19846019279516486
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.19681759807931193,0.14742599529689765,0.17350363312875564
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.19951586721604928,0.18391434698650957,0.1896746653518457
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.15589034178337569,0.18728159717068874,0.16132130032317116
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.2846730993543408,0.2795279059100132,0.2854860744118572
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,-0.023790006144136604,-0.03271243186203375,-0.028064061086873513
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.16970273690269316,0.13953521687875578,0.15528084186457847
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.3374102049528946,0.3471746585045754,0.3432634736482314
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.08146002081307109,0.10006267362390536,0.08964482767807055
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.06618293125229659,0.07181639090104974,0.06871143543093511
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.10989672610585352,0.12659924099432288,0.11712496515812146
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.04093400971946078,0.05341914295169085,0.04508626974221797
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.21598654716311486,0.18980229003297122,0.20298203264378
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.18962162462243262,0.21150220683847457,0.20270179879866843
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.03835803989799957,0.04896411606815683,0.04430604156255261
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.29536355588543617,0.2915487590988651,0.29553302455122027
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.19540449651044098,0.1966164515732576,0.19454854370421318
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.20656506312099412,0.26706157379057094,0.23438787567140396
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,0.15753443559882943,0.16698316045676195,0.16245717734767962
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,0.01914747232895891,-0.005532952411244228,0.007600297028278618
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,0.02978161537850837,0.028480392570439373,0.02902565311927638
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.1101953485512,0.08656305374699814,0.0988708262685747
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,0.11539118140843735,0.13559908354734262,0.12495489074757353
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,0.01522151504263779,0.08450198471324981,0.041137621547174
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.046614161244593014,0.06942317439348898,0.057997038691977656
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.02702752597574666,0.0785648875562013,0.042543348260325915
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,0.14565397913504874,0.14365850505322336,0.14526129235512314
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,0.24794661020817602,0.27144924291914146,0.26310337661119054
