id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.08472157774065651,0.1773475647286266,0.12631593493053736
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.2753478074272696,0.17795766639085348,0.23811003761651858
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.13296133949329142,0.22451333955852912,0.17917011706967045
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.2770328745568424,-0.22620965117910957,0.16654083606423828
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.5298335753842703,0.10604396862256536,0.6263434240887524
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.8174297808617086,0.27250665835883126,0.7362944481463256
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.9028501401665054,0.32568081518143555,0.8575556220426166
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.7470634023599959,0.524568445943724,0.7462847969931843
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.767450533242241,0.5602232612093144,0.7628019901347457
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.8742120903530516,0.25816784856967984,0.851042257483655
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.7632312172811991,0.6645419854669999,0.7550525771596042
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.5067975300760608,0.26547687273842807,0.24157814020586416
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.4632108176030138,0.4921788475973252,0.5209344840740118
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.6155177928519951,0.3376820100158868,0.5093976617133339
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.4644013333367017,0.7176626390866631,0.6770290263576783
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.301399528047635,0.23298064318512796,0.3110325103043776
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.7159410915816322,-0.06801694260651178,0.5612093295347385
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.6320614562497727,0.3082307293003287,0.6474182160712876
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.8756149702240614,0.6282576554972537,0.8686578665596293
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.8520364133656285,0.7806442125531261,0.8538533122290584
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.6900602805259659,0.615931989434097,0.8178855868996917
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.8003015057437521,0.5844503413362288,0.7983623404419407
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.525003354247325,0.41052582494399986,0.5428881688183544
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.22213607367559382,0.2764128652045494,0.3296233627215986
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.5590074431693745,0.3070378240717679,0.4816714605775607
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.7220117761404429,0.3023852352398619,0.5795718960680601
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.10410503540096155,0.3566314729803844,0.2748500162118203
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.7982031967054664,0.3483534196004943,0.5676166521988977
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.7476389532430345,0.579419801556602,0.7075164071009503
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9036107396597174,0.3000115330458765,0.8756543530032851
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.8699986507781817,0.714554614031503,0.8642347537213892
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,0.9029121296365337,0.883425886931778,0.9054537704267577
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9374226592979511,0.7809848423233215,0.9213690644785507
M410-10_v2_trim_mvmt,410,True,10,9.0,"(71, 7137)",M,0.26064208115320836,0.4987674783464245,0.36157769694031255
M412-8_v2_trim_mvmt,412,True,8,9.0,"(135, 7515)",F,0.8817937539821127,0.5940458309028764,0.8661811319294688
M412-10_v2_trim_mvmt,412,True,10,9.0,"(101, 7163)",F,0.7245780038128111,0.34563789814990825,0.6785161915984695
M415-6_v2_trim_mvmt,415,True,6,9.0,"(131, 7585)",F,-0.2979503746215517,-0.07282603330406529,-0.3017562507288903
M415-8_v2_trim_mvmt,415,True,8,9.0,"(62, 7420)",F,0.6174586068887371,0.48764187159840894,0.600405217893089
