id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.06976941409258518,0.25456368556446357,0.07459853884187213
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.3594750886398728,0.21112926074823488,0.45120075982713465
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.8144811706450147,0.3430415584796877,0.6872711970009522
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.2338074266761581,0.3650577600168931,0.10411640444334437
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.33090193235119497,0.2940135732576391,0.32892266520178504
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.48513183809224947,0.23234392975742602,0.6807961271269976
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.17260053980333095,0.3353890924445248,0.25065531893468823
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.8074631948458416,0.5434165063897777,0.7881875826576769
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.47149934570808133,0.6340734529691298,0.5045392563556663
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.5071798383997533,0.39523812503837774,0.5297007877261791
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.8740993364839541,0.6917474213386148,0.8418263248979312
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.318207638848173,0.7340626592162479,0.463553164433849
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.15906111986211952,0.6284778531691892,0.3633996290709363
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.4726020871216783,0.8108224942969785,0.7037979540006768
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.7163832461207159,0.5339873512698707,0.6755832325094465
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.7372018029602005,0.033299440174270105,0.7038401751369281
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.8537004277613487,0.289261033457489,0.8045761380901336
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.7901527983760325,0.5866676803158414,0.7416481103505631
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.45209910948632953,0.3664544427044053,0.5241311331248677
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.5063854091149638,0.22051290767766477,0.4738513921792722
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.8980432707978845,0.37902709430824927,0.9009599105698549
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.7690123707435849,0.34654304337393765,0.7542345954361974
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.3060404320430583,0.17973341138402849,0.26140061924370034
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9702598482754661,0.24985597206157795,0.9548569724560753
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.5218167111049024,0.5557637633065601,0.5752109502058436
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.6355855676376908,0.06545822005890772,0.500469771027852
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.5470961962687293,0.5447294065018781,0.5863142001895846
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.12129537607491178,0.48638581602261916,0.27667308823023234
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,-0.032090222824146544,0.11957151260519819,0.0006926137180216342
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.6820570895533749,0.40072227384052733,0.6765966477242267
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.43183174772148997,0.4624070283177334,0.48444641171689184
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.5141744678055505,0.24830052737342523,0.4861130117873387
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.14687215947412732,0.08106151969844122,0.14055331900454276
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,-0.14564762144316767,0.0953066655935304,-0.19116573716764182
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,-0.1345861872900772,0.2356953247636724,-0.06568977142455236
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.2995865280808454,0.15712912021970118,0.3340328050548983
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.6638016316114819,-0.12406746285643275,0.2859282900309803
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.5183600013508939,0.42902070350689303,0.5556166696963172
