id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.2744158931338909,0.22525094827377637,0.27976457843760505
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.3131968886557026,0.03927228260884516,0.43009995694097736
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.7936843117990621,-0.04779020704569408,0.7025350387976098
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.2824326984873611,0.41419666022326895,0.15289190395736413
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.46533132863880283,0.5838997489907795,0.5190847126761889
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.667592671352739,0.1463922528901164,0.7909349365425467
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.13479628995684137,0.2404339326339798,0.1795741373033274
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.8560485454534668,0.5898266044448696,0.833421075494026
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.6914100274502892,0.6340842881299852,0.6746244137823756
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.21508043431217416,0.37170990938307064,0.43395550159220686
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.8854536944044554,0.6983716723104809,0.8481733162573977
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.3924216991556761,0.24144619372592302,0.4758528941421631
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.4254077395823108,0.7080343635860716,0.5127655165404387
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.5881860733490666,0.8845783643073122,0.7288601377629127
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.8651315087758917,0.4783261163743917,0.7730580703110124
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.8944907445459159,0.5767606987040944,0.8942410585191961
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.8937913810393436,0.4834062791498824,0.8762458293708595
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.8553665500351358,0.6687027485997064,0.816789877825251
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.7812021252496556,0.5161065291392222,0.8251497348522391
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.8415898768347666,0.42656039146310337,0.804947615678113
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.9324163565891196,0.4856669221716529,0.9092395085996567
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.8789311449170968,0.604610604339083,0.8798912302793876
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.8525823569556993,0.5220474569444196,0.8093383890205255
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9672501391621717,0.5888606541741052,0.952151168398602
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.4958750139642034,0.5526605329868461,0.5559426748514934
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.7907745195478242,0.5460967786113493,0.7275809233089472
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.7290076637718799,0.6816695210300723,0.7598302771164834
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.2831050972002213,0.48767628016012565,0.42455331057726536
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.07591465385483093,0.25923476659811673,0.09750622269093744
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.8207852801140114,0.6968784918384655,0.8873914331434375
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.45553609919757565,0.5538339315757624,0.4878020227445435
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.7026992255050458,0.467233711370645,0.6914340676641664
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.40509413487547413,0.2720378580614997,0.38232076711483187
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.3092105293963414,0.3909707196838772,0.22980283905657467
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.6005892212769406,0.37841176750247674,0.5702707372240639
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.55882081221217,0.21929960166691664,0.5529442791289566
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.3684999623701135,0.24844028300087986,0.34596941302280215
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.6535164638410278,0.3800420744212269,0.7059001551300562
