id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.0761359164873105,0.08808457845544834,0.08243070416880939
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.10476428251665247,0.09933158132339097,0.1029692482191447
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.010335350368269144,-0.0015495042530532378,0.004423577818119559
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.150307401149372,0.13011582289059262,0.1409878825200799
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,-0.04335608936655608,-0.04725519363799647,-0.04549937997337772
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.08569825187961998,0.030455417304304427,0.059425380585214536
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.2423271473964665,0.27830132713092265,0.2620805481298396
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.0026859587679946323,0.047956164376934125,0.02311163945354267
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.12374014299511878,0.09770848032160809,0.11004191150864837
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.11509744860696883,0.15802634682082736,0.13612336520302304
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.021313383476656653,0.008782976115449988,0.014421024729810451
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.041335669904884624,0.07504044406049726,0.05863939701931423
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.24803913906845965,0.23120035885083864,0.24066311708517424
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.11235655920901322,0.14389900824369134,0.1281880076419082
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.11639297864439371,0.12647871377132386,0.12099209970451494
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,-0.12090563007557677,-0.12045045872714247,-0.12114482869143244
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,-0.11072491037302894,-0.0874454290584737,-0.09970154075426628
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.12286485899629493,0.145402447891838,0.13411554064284337
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.1676565132830815,0.13361613697320657,0.15178979348130478
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.07115111697357968,0.07755399853598295,0.07316933351472137
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,-0.0041670087685340045,0.053229415260000225,0.019135201826245608
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.060172114418066185,0.06727095009987392,0.06341443516446037
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,-0.12797756136194177,-0.10577685870620251,-0.11923968419790439
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.08051998551571045,0.08882731396617984,0.08435140673340086
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.23056491769369986,0.2288588907857199,0.2307781083998074
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.1455211228283004,0.1413970856201929,0.14250637953359993
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.10401581532108188,0.13638825018400377,0.11651416547404005
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.36888517057163084,0.28879949073003536,0.32631770898204865
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.28147110064470193,0.2666240248750649,0.2750154333289128
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.18706821646600014,0.1395785807267562,0.16571548908093237
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.3464208354545065,0.3470246778383926,0.34794587113720565
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.09670605361714839,0.0769709545378698,0.08678183556226529
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.04666970562994975,0.08210375103004483,0.057804896001225126
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,-0.09019944582414956,-0.07124869796056947,-0.08384287290909967
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.15736357884343039,0.06875389963448801,0.10588755114566693
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.15104391882781146,0.17856989442761034,0.162229424086292
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.3593786356732859,0.3689211703095573,0.37137031613747007
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.2591396715557822,0.23053930564156347,0.24546773406510342
