id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.10725091719181594,0.05517297517480757,0.08386375642426123
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.09904151144322455,0.13297460145594106,0.11508333533263324
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,-0.019416579113544174,0.031744294571484005,0.004809889419304535
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.1343867009326117,0.17737361242092864,0.15711157195440542
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,-0.06689707279599942,-0.04597476395214843,-0.057218702911179135
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.12778681160403052,-0.007687962968627776,0.0598991092344481
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.2451663525155183,0.3050514894051476,0.27677520288735447
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.03703058208634126,0.027902996659263865,0.03154826476318888
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.1351223615234769,0.08856170894890801,0.10973974337150405
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.15310313440684623,0.12557212846396415,0.13722152570694537
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.030646331665983552,0.02016484418979297,0.02477347370706143
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.050701569945149856,0.04491286355553449,0.046386416688309284
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.24495564217774887,0.23721198376071295,0.2419167478499023
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.11555330926655272,0.14522254422494077,0.12816518384445308
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.13511879322363848,0.11127824855255654,0.1250147526797721
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,-0.12407949523061056,-0.10401046277511261,-0.11490259885354277
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,-0.11363929675017562,-0.10357113362949782,-0.10965350729190533
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.12983430504033988,0.1488244457527054,0.13778057331201157
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.12647073088098307,0.1578572658727107,0.13850484637821484
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.08233842089723245,0.06953509105712939,0.07214227001696892
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.01710894427730629,0.02710352361802822,0.01964105150490928
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.06431309047883042,0.06372113921287938,0.06614176108537274
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,-0.11371755965701148,-0.09725478177670827,-0.10894705071319241
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.07639322045948416,0.09499823578789693,0.08483591374979813
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.20212077661247355,0.2604837807222332,0.23230394116538478
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.11043963046368209,0.1865301464868045,0.1462640144197681
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.10863837849576023,0.1396393511926585,0.12107237494302052
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.2967414367051999,0.34719793397378396,0.32237536378592463
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,0.23424795698569556,0.2868982338531803,0.26139900382829107
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,0.1609385139528047,0.16416110061275027,0.16521448676648515
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,0.3280773011880403,0.3571006324485061,0.34727013115640865
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.09571238247459798,0.08145671154255524,0.08974669183617742
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,0.04690328447199533,0.09584389437198033,0.0605263515465219
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,-0.08570952656478112,-0.053666832316492254,-0.07994568228261792
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.11260267712216593,0.10571502808872654,0.1071148000236794
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.15111024641509813,0.18104382836272026,0.1620742017544685
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,0.36653112604831506,0.3656848963928717,0.3697509707867757
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,0.237471237963625,0.24092424372204377,0.24271492642470402
