id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_segment_0/2,funcsim_segment_1/2,funcsim_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.18626221072848112,0.049373377306364125,0.15056884577723886
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.6063508717312137,0.1404104688795979,0.5040543542266493
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.34977072783452207,0.1327007495673588,0.3011178558815383
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.32216026691379523,0.4477962358424308,0.375877992361385
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.47473340034644995,0.49155777061617173,0.47454246115155174
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.599774513742622,0.2808366849780369,0.7070557170345124
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.2787578921746574,0.2293438795375465,0.25538227252181345
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.7939766590511594,0.523307189212609,0.7379291794257864
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.5889221726772566,0.536173288384246,0.5984647357514603
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.40380539923132786,0.27187270675745534,0.5563545495632722
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.8545498100236018,0.70113646933383,0.8339233289540189
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.5358532412857598,0.6918217175051619,0.6260008947903322
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.027784288828796928,0.608965180776868,0.2963505752170741
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.7883621365284075,0.7569959081915734,0.8352693873003193
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.8645931029124102,0.40032605635596596,0.7549477107032744
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.6537820829146815,0.3654541368370998,0.6405346936520157
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.6381701831130387,0.1039947005149021,0.6516933692342803
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.8644432193889937,0.5130379430491263,0.801206211289205
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.8044840450384332,0.3412194937285892,0.7112151010999582
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.47601782025148603,0.14029591841618508,0.41185943090068905
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.8061015441239066,0.20600133100909307,0.8073950423761496
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.8410675062844436,0.4441746715472673,0.8096796006640529
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.6493460957372237,-0.04907696150274423,0.47964035540884525
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9477703790684874,0.2073846460834184,0.9222418599555428
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.4415686714178112,0.6176785150354187,0.5284850796407558
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.4349872246455175,0.12209794076599334,0.24346022167961243
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.4545929292184726,0.6456124944918277,0.5555828922710986
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.2574838363346938,0.3236668381870217,0.31192551073600183
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.22073554565815193,0.32116206103429995,0.20492898467427062
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.518420144039111,0.46980328375616953,0.6518890907121742
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.5468978953928083,0.5697390566339775,0.5508880479183327
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,0.6750047119009734,0.34894295834424965,0.5974008565673291
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.15224891400278598,0.12045952877390059,0.14717086694000575
M410-10_v2_trim_mvmt,410,True,10,9.0,"(71, 7137)",M,-0.1947667366609215,0.06365329392672679,-0.24214421396852512
M412-8_v2_trim_mvmt,412,True,8,9.0,"(135, 7515)",F,0.5595932794012647,0.4532114480149417,0.5589868368887432
M412-10_v2_trim_mvmt,412,True,10,9.0,"(101, 7163)",F,0.39200432470745367,0.18062381440639355,0.3009030085808773
M415-6_v2_trim_mvmt,415,True,6,9.0,"(131, 7585)",F,0.24854617529153722,0.13812834854769002,0.21875503302453328
M415-8_v2_trim_mvmt,415,True,8,9.0,"(62, 7420)",F,0.7210705300841391,0.43400643291715985,0.7217333461964984
