id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_whole,funcsim_segment_0/2,funcsim_segment_1/2
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.3391044912047655,0.3763473563407532,0.45241376933008715
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.2665706461461937,0.16781716810818287,0.2167510969959628
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.5552282165011043,0.6321466298651675,0.26683622241062305
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.3533044667954391,0.3783699450279156,-0.05837236072895291
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.5015107008212575,0.6309695151753257,0.35143196886339517
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.48969062001276176,0.5309035394514076,0.4376878182334549
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.640102340418198,0.6059162176065828,0.5527911884540592
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.5217511220100028,0.49103570959677145,0.3968211730587387
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.4051586923365522,0.4468640237863908,0.5415159606772125
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.5371260744595273,0.5216281667974857,0.38160440637177534
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.37636071367053575,0.23407673600681567,0.5322921073345371
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.5950069840852992,0.4778140696502589,0.29331244041950544
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.6068076674229983,0.5090939188664186,0.5916403242626757
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.8176416189901946,0.8376804180237931,0.5698740740451449
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.8434890379545305,0.7604757428319919,0.6482904033738874
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.7349487968470451,0.5944557548738849,0.4320773977068351
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.8227714552937434,0.6142832262279921,0.5210687278446868
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.8517997875424876,0.8378274473229859,0.6463559376512779
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.7196643321332583,0.5038300111927185,0.44512751658967314
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.8305915321488858,0.5216486855006167,0.47508744177032286
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.6754941020620464,0.6767497383018142,0.5447894638301192
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.7515724923449466,0.718912555291668,0.7087865220205407
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.8227243417170141,0.7536690397853614,0.7205590484892849
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.8083623455847603,0.7923378511099036,0.7062943868412485
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.6481755078952253,0.6141536586234063,0.3208374012906029
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.7440015729305794,0.7224350214358071,0.5691851736005082
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.49384740425263857,0.37527706608343825,0.30844642420820056
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.835764112667523,0.6935425872969115,0.4175042819718069
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.5073341563714374,0.5510449136106897,0.5165542553261612
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.30761349539794675,0.35267528311109564,0.518036644866393
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.8786109996141268,0.8756189983170739,0.6126302577848176
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.4436487303158132,0.3633688876726154,0.3901275935401093
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.4850419650244829,0.535453606722047,0.30462096857114307
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.4405752989412062,0.36339226629422683,0.235434750169433
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.6787044636353481,0.6144397455773708,0.5900368372017686
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.42052447327547055,0.3106124267842972,0.18667504131335333
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.4720604146938619,0.27814177835438,0.18135553619252254
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.7639301049982075,0.6803814258808107,0.6288167391742036
