id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_whole,funcsim_segment_0/2,funcsim_segment_1/2
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.5413345434749157,0.5186465201053494,0.562003350933602
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.4709239621471151,0.459790309100094,0.5032994023181127
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.5316168107389103,0.5203268577693009,0.5300468278128972
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.4556661098710037,0.4265780968098939,0.48623577313942945
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.4172074524960006,0.4179205183514221,0.41754585005571837
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.4678709090910341,0.4742703569048426,0.4430348452153294
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.5113524065372433,0.5224564585590633,0.5001327303775784
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.6694783508882348,0.6413284922192636,0.6371302634828124
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.6164916260293559,0.6259866514354807,0.5847177298736087
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.5467364468655811,0.5415664466098147,0.5415747324369291
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.5631369766158416,0.5546061317476065,0.5548661293325157
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.6382695803017624,0.6468113020065789,0.6009265452205176
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.6319847116407106,0.613620497394614,0.6410340991501705
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.6686393509989855,0.6288530444731159,0.6542142912559944
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.5621957634714244,0.5698530914186578,0.5215089814835383
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.6174469904728245,0.6091494358546248,0.58643242394533
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.6614399023089678,0.6127676273749162,0.6863621322776216
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.5566258119456008,0.5537831280842892,0.5469074562985541
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.6345450937230441,0.6104176796964996,0.6396686224956402
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.6645680754914135,0.6292863696358673,0.6558622931819279
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.5299124486074074,0.5306224656784183,0.5237020305444392
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.5856170794064065,0.5862546287708611,0.6039470564295132
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.5941354943618545,0.5801587539325894,0.608264245920629
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.5854881871126649,0.5776825160651996,0.5833127380447221
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.5676943076950514,0.5715726229220189,0.5301884647796773
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.5118956058188189,0.501507133031573,0.5123040003957836
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.5875993636244313,0.5836456987416677,0.5677922323169864
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.6323155617323866,0.5999797233935107,0.5527886287809731
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,0.5678946164906242,0.5574958952228134,0.5696034373764203
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,0.6480294653605366,0.6419713656643914,0.6568226794891437
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,0.5684029207293976,0.5015369703076779,0.5819298283492309
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.576542572250086,0.5765731602756309,0.5806202106728123
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,0.4946150050031879,0.4905474937921286,0.4781894651605062
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,0.5395619610043216,0.5395362060331695,0.5169273783884784
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.5040234850966839,0.49909411735697345,0.5085137335744948
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.5106826637544737,0.5123169447071244,0.4699877619947744
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,0.6036494302723275,0.5974078874804297,0.586701380337958
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,0.6536983423010815,0.6544350996268542,0.674634445065946
