id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_whole,funcsim_segment_0/2,funcsim_segment_1/2
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.6611874076625288,0.699319223712511,0.4615975740140094
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.21185772375249592,0.12931787126315789,0.18556298247531694
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.4858034023084713,0.29842305656470625,0.3483644888930484
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.5380638319733781,0.6315092362915055,0.3548567352773092
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.42971363266721335,0.5074103555738345,0.4151549372565548
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.2893119241620347,0.16849327906840958,0.35133225973204435
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.5882764493753327,0.48753652621378396,0.5210242764076635
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.47955270782679327,0.12388705174650498,0.13685924299657734
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.38169460436010666,0.2517335262755236,0.45979886992670116
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.5095359386407036,0.464917299793549,0.4246968023134095
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.37464983144120056,0.2246755492008968,0.4506845352803735
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.5844154501256196,0.5372300991013874,0.24997472614787128
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.7161996715489947,0.6729387255167041,0.6734482996375523
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.809302612497308,0.8233492557443919,0.6349406182339739
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.8946607254762926,0.7323370938042483,0.4602034237675108
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.7099665467012612,0.6481684417136236,0.5663819721106544
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.8533571807660955,0.6379878811877091,0.6754422348809299
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.8626022720984682,0.8359839613964919,0.6816467798247371
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.8206472655134445,0.5212532093314628,0.42798373240446647
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.8000350515119365,0.7268517953249432,0.7790288530442311
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.5884341378811442,0.5721780558394334,0.4928250330172947
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.6767473779195294,0.5947645325021653,0.6933313138763446
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.8136041003754019,0.7586890131148526,0.8220760182136729
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.8174738013616918,0.8392825433119341,0.671735983644551
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.6219279566333474,0.6969056850482797,0.3259178132578853
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.7057133253993282,0.6274637166785932,0.4688157301275297
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.47343662291045613,0.3491254566539861,0.3996636525199505
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.8467914346703508,0.5681531676930617,0.33678433346468495
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.669400811134206,0.689073059324374,0.643409932508466
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.2774848336711118,0.30200341964346766,0.5569367081255758
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.8786092251042805,0.674378873000015,0.41558494235369453
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,0.6075276069695361,0.533884087374767,0.6809363979954965
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.42556214495570105,0.43682817989926026,0.412753037733141
M410-10_v2_trim_mvmt,410,True,10,9.0,"(71, 7137)",M,0.5010656309744783,0.4820198873991397,0.41544786530216704
M412-8_v2_trim_mvmt,412,True,8,9.0,"(135, 7515)",F,0.5632727135865645,0.35077599801176973,0.6698277277654662
M412-10_v2_trim_mvmt,412,True,10,9.0,"(101, 7163)",F,0.4773715577030034,0.4901612726023606,0.5149318285622182
M415-6_v2_trim_mvmt,415,True,6,9.0,"(131, 7585)",F,0.6231820250821705,0.5769151867141673,0.5065546054399249
M415-8_v2_trim_mvmt,415,True,8,9.0,"(62, 7420)",F,0.8268435204326638,0.7229063535653528,0.7592093453882498
