id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_whole,funcsim_segment_0/2,funcsim_segment_1/2
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.23835156732409346,0.23445503781292745,0.23905549643454954
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.12120591005881141,0.11135895824334893,0.12124085960627375
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.25170508276725245,0.30257320470913734,0.2328180682223993
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.15552542344206832,0.26307247181150395,0.23349967250865697
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.38407613931383333,0.38559945411903734,0.4339331488090528
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.6058932471195233,0.6355230713635451,0.4125809245357004
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.4596478906687818,0.3810962748112571,0.5508764047774465
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.6754836060531443,0.6985778748171145,0.42609313313423963
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.5090703998082025,0.48526895314234464,0.5482245230928915
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.5600814595971755,0.5375557393878194,0.43477529600303705
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.5384169637222516,0.4823347224164366,0.5606576397823363
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.5962107671715693,0.7609708124846876,0.17163192476268302
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.5630280844993952,0.6307009103825635,0.36181748283206905
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.7079225288482304,0.8335962936496542,0.24750864446049783
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.6226678424117219,0.684592811070265,0.3453859069366887
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.5385211382603325,0.64572094651866,0.30045400516821313
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.6151461857496399,0.7105938214818724,0.41872167467924276
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.48517601786936465,0.6209196945382325,0.37512502294665445
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.6273144436608535,0.6374776495947833,0.4996441169008994
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.6150025842487826,0.6363023273117141,0.4625676788531623
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.7032014869524515,0.7416240941802863,0.524672135928332
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.6619557434511268,0.6875971386004265,0.4784726059265597
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.6607029604290812,0.6565733253607338,0.4773418845550006
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.6783661789646457,0.669513791171828,0.5515175100453867
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.6089847577986447,0.6363004870687325,0.35789456672324327
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.5604164874035585,0.6008708590686097,0.38840968560887823
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.5349074900030422,0.5577253843613152,0.3610356408375529
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.6250789100450029,0.6700553102597115,0.4171306297212137
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.4564598583544038,0.5122372580515677,0.3881761397620863
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.45034206880964217,0.46003808803551255,0.505406110236226
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.7897846043146244,0.84087116388458,0.33325307442414254
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.5266938082383937,0.5837056632738215,0.36221725463528487
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.49906028361698307,0.6019154549006177,0.23953667813746893
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.5690593140613055,0.6189432483126459,0.36872968372768555
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.40399065806997975,0.3897053059212674,0.43192702962778284
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.31611813389453464,0.4190794187639249,0.21907414961457533
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.22573840497327047,0.2752431294135867,0.23593729666410312
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.6136261831615291,0.5937110368374393,0.46858454220232654
