id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_whole,funcsim_segment_0/2,funcsim_segment_1/2
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.016234632552783682,0.015295431861429004,0.019297208032626315
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.013278235776833977,0.009551800952388655,0.018514992325404964
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.01999084247598855,0.01724989638139146,0.0243060504199981
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.03112391096245319,0.03003734166336172,0.03021018405054799
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.018168790664425272,0.013813616840802545,0.0244585035793901
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.01989094085439163,0.02051999593897736,0.019492612348762876
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.02741969480272492,0.017079940348329926,0.0437481819995239
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.02824448285168209,0.023216083578945997,0.03645682187127056
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.03871385794253978,0.03496163492403878,0.04743939402354309
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.030510425596652565,0.029237441155205456,0.033351837776647894
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.03921217121841468,0.03702372752418905,0.04477018371941349
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.017945711749328387,0.01618801396381289,0.02075330604329684
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.035379702256901256,0.03043583128402608,0.04172763577603636
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.03634428369630532,0.031798607794351876,0.0446222523568576
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.022448546241663946,0.01602651985396705,0.03703561720852952
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.017562967503177603,0.015416656690821985,0.022077343593977772
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.016187771096580168,0.012432853361884814,0.022671870825518095
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.027258784835185037,0.023440977590428146,0.03581964595578966
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.030613587200503056,0.029256284915956627,0.032682962052157385
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.01793785671591611,0.017591674171540752,0.019262672605116302
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.028280026524506344,0.023622081444703184,0.03888805328201556
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.020633673553722254,0.01818328082022151,0.025428291833011984
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.03627012902614035,0.02878220081620822,0.05058907359713767
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.029903959756457134,0.023982287956949892,0.038558046697587646
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.022387448937229937,0.017271944647971434,0.033371915923795535
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.03243948927031061,0.025600153326963783,0.04714578585695182
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.035053227071752506,0.030543415271207276,0.044189573264440805
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.024697415342424752,0.02055213037063494,0.031549663457011906
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,0.030065904856108217,0.026487741421964937,0.03732859766873641
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,0.028786863245355197,0.025192351970895786,0.03541578113075779
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,0.02572329774567745,0.021424213235954205,0.033421040836476734
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.030045469213155877,0.024336772796823152,0.04298234974459312
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,0.02266495647993415,0.015618491089438804,0.03692021804493082
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,0.03112512417581316,0.02206634756299568,0.05045715380014265
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.02446701186023714,0.020673808669154473,0.03176200594097201
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.016729626724967014,0.014300817279046753,0.02171043338390175
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,0.028482859221004866,0.024295845475067857,0.03884600690177861
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,0.03407019007403164,0.028265624732277454,0.046532904787210456
