id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.014557314919063079,0.028421334343553213,0.015448771384324144,0.012172073057892417,0.010062135820096683,0.011393544961492018
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.015137874058584171,0.022849616883433767,0.015877684609026298,0.009916159871899623,0.008335983378034883,0.009151451953386451
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.03377578432060575,0.04553379675424585,0.035258752046812836,0.016044583377436954,0.013239855798139282,0.01486964229833354
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.021501985083222087,0.03858908657881004,0.023147210832383833,0.028324101765251714,0.021685151487435522,0.025950360396202167
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.01974930281647546,0.02170076456407416,0.020115725917968848,0.014977507854107331,0.012816124594621545,0.014194093333927106
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.01563612944833101,0.02363388041292206,0.0165427743131495,0.015092731209110647,0.012606077261502022,0.014056159884770325
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.014813320702479827,0.01791492788732553,0.015225961350930002,0.013652402943900464,0.011135125026030465,0.012603911404259576
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.017945593063648582,0.030944015651554753,0.019240255335444784,0.015683339025356995,0.013833571693728303,0.01514139173029764
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.01220731570006423,0.020942695084946852,0.013025508140335353,0.018136006489190986,0.016612487687043237,0.017623407509132213
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.01162880033061849,0.024315209362274996,0.012790929445960655,0.01467205123054292,0.012290720203643038,0.01347963744142838
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.013034125750759204,0.024605459215398605,0.014621552719981999,0.019070514740012003,0.02036194143773655,0.019600390446081185
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.012005185264049898,0.02217085106086071,0.013035219917722121,0.010662242362293635,0.010608773738018959,0.010693821292243685
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.016357017170557295,0.0371699444601816,0.018564677753853214,0.016183413971723425,0.020199356186469442,0.01754204505312606
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.014708588783729768,0.037611626893101324,0.016622460999222717,0.014292876266408842,0.014164504635416582,0.014303659997352397
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.011032851828456144,0.024409987327182928,0.011887354879090772,0.009460168019029625,0.009726213801080017,0.009583834164171552
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.014214841802302942,0.029874163214282757,0.0154975400357752,0.01341724784455179,0.014197089155678192,0.013796669387937149
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.016825939900478204,0.0348876911995519,0.018642756936670668,0.012567474024424334,0.012590242770797842,0.0127169816226821
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.014482708496121755,0.037016523223273444,0.01635710584450443,0.012076783995618323,0.011655935967939988,0.011942543408543704
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.015400415183764917,0.042172515880081723,0.017616326694390894,0.018119567502883627,0.016562917773734562,0.017582833722587808
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.014643845361722889,0.03316169448329381,0.01633918328161199,0.02392176050521074,0.026757578747177862,0.02504619110087539
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.01244619259207937,0.03243339932661997,0.013533460475861538,0.019989769748506477,0.03290185866917761,0.022902333604259736
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.015396002570697198,0.03359669341354177,0.016849594676466094,0.015099574719387455,0.01382885917610371,0.014706690355496582
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.01659792436417377,0.032640250234678425,0.018854682642784837,0.017480413418519438,0.013478206682718184,0.015612194904731997
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.012794578759689248,0.029635958840605714,0.014346037624632506,0.01395194466443186,0.014640823845109235,0.01416872808918572
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.012313302985034602,0.025128336470302954,0.013554178217736853,0.011314789819275407,0.011282322306570648,0.011322219034060398
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.010344677794100794,0.018282405953086018,0.01088536607719561,0.012048302080416542,0.015885123102784893,0.01315207755671012
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.010007202548143149,0.014635801428443916,0.01044084722607232,0.015862433640641514,0.01823146834809657,0.016719093569197385
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.021895206322437945,0.04096714804529512,0.02397717491722989,0.011852825728348589,0.011413814625788722,0.011714358662362267
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.02258357538100527,0.04351569252296522,0.025219877629872715,0.01616824875614505,0.016125681403916573,0.01627038611305686
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.017575564590262487,0.03365972776918158,0.019614815977441843,0.01426125455829804,0.012249971900806454,0.013310902359496314
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.01119579935993604,0.02549945553869895,0.01220421077471886,0.010640494608220127,0.011868411324338158,0.011129458295334247
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.013417218830700963,0.0259646986740721,0.014707799765870859,0.022996300218999986,0.020984001739272493,0.0221268475699767
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.011183960200707487,0.019356227516151858,0.012021830494137395,0.013851311838603466,0.012107033392393553,0.013209661444190713
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.010438379878426971,0.016848955022408824,0.01104000618915925,0.020869362633187852,0.02959722937572957,0.023454245003334907
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.012879532847479233,0.025695902740717116,0.014338787857132032,0.014089602611296707,0.015729025263909853,0.014593368656562212
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.011070126684737835,0.023868094318863664,0.011888526134209756,0.011991674293660165,0.01136279007239798,0.011745757818354838
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.014611841108363423,0.015705977838395058,0.014720769253001751,0.014743046851857648,0.017813380220209816,0.016035653816892148
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.016333307916383544,0.036093532526872765,0.017791185432872544,0.014860466281867185,0.017094715854277066,0.015614616465604378
