id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.024001964552010372,0.0552772338900111,0.025897652238474803,0.011612418946762907,0.010713645613502031,0.011393544961492018
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.040065227193242084,0.054855372448703636,0.04166175082464832,0.009942428070582912,0.00838739255713638,0.009151451953386451
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.04977932982149782,0.10173564353559786,0.053216628259523065,0.01585144720815659,0.013445331871865961,0.01486964229833354
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.03372269910775513,0.08697304569418116,0.03713955496686178,0.028498129350348,0.021347086253150512,0.025950360396202167
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.03148402215933473,0.02692084471191686,0.03075024724050907,0.014774129592296034,0.013065868904564067,0.014194093333927106
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.019565168760805676,0.031091388453812527,0.020777862425731763,0.015340923332707593,0.012377079431227145,0.014056159884770325
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.022819979669456467,0.02322006019689133,0.023002551815836658,0.01418879123178361,0.010521869814830047,0.012603911404259576
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.021901109618241633,0.04465823601032925,0.024220515190099216,0.016120550362982072,0.013116457210588123,0.01514139173029764
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.021052280419772626,0.034935501773925036,0.022522504445033526,0.017468925460004215,0.017940011546628033,0.017623407509132213
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.016486888594408187,0.031039877331779292,0.018378133731310198,0.015330411986465443,0.011911381775580312,0.01347963744142838
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.018404396243444834,0.03515172864744724,0.020873008613238108,0.019037983648851578,0.020573539664271154,0.019600390446081185
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.015883530887335753,0.030914221342589962,0.01714966594981161,0.011230573392323615,0.009961385535121894,0.010693821292243685
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.017512981976534427,0.041610113572961877,0.020003828791119144,0.016053599263943917,0.021243166764263594,0.01754204505312606
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.019506519008031416,0.03563289638935973,0.02164672336061869,0.014997467236659562,0.012800780478813506,0.014303659997352397
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.012637350110562794,0.030585006114223368,0.013811472642266544,0.00946944452311631,0.009725519916563353,0.009583834164171552
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.017955999853598883,0.04019341083156004,0.0196693650559954,0.01300568830168667,0.015462101438257282,0.013796669387937149
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.023956049925352683,0.045076434723171695,0.026044745612825403,0.012338859926787448,0.012922288338143222,0.0127169816226821
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.021796425220930213,0.05244145462656895,0.025031933679344327,0.011953780132615536,0.011759205354279677,0.011942543408543704
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.0214092145772718,0.049496995751871914,0.024561872323621555,0.017902298923726037,0.016838147046605936,0.017582833722587808
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.025187838039971388,0.05385193837107063,0.028079310638248138,0.023927519912273324,0.027130071942626264,0.02504619110087539
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.020414539914209023,0.05883398217327214,0.02256362951179094,0.020090288181514898,0.03407733734871799,0.022902333604259736
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.019240762471731808,0.036357282105556867,0.020931877657993567,0.015104927875916111,0.013835662358935843,0.014706690355496582
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.022103757296543163,0.03425291849572535,0.02415057013243661,0.016476263514680654,0.014327855018177599,0.015612194904731997
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.01545178906063213,0.03725228736838952,0.01740842050177455,0.013966908272234745,0.014593781534552668,0.01416872808918572
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.017236112865232973,0.03620440441964115,0.019217273147055423,0.011326356839621424,0.01124391361014709,0.011322219034060398
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.016054457389478135,0.04320471998005573,0.01704994292224021,0.011861379169835175,0.016928450233448362,0.01315207755671012
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.015714162114587447,0.026469047306418813,0.01642318780207638,0.01595059121575146,0.018547916444638688,0.016719093569197385
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.02916844288759631,0.061668645434003064,0.032245845220328494,0.01176437313773517,0.011570278977303852,0.011714358662362267
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.032952001092407056,0.048787480527996877,0.035677195213290096,0.01546697666736857,0.017593798573509737,0.01627038611305686
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.03022082426099455,0.037736636724875115,0.03157246954289043,0.014789072405650024,0.01173360058200246,0.013310902359496314
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.014966097743168805,0.033926955890504096,0.016377192382397144,0.01087828017186878,0.011224108588502141,0.011129458295334247
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.0220043787320381,0.026181027024484802,0.02285150201236174,0.02211911343630739,0.02204433938368455,0.0221268475699767
