id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.8562696866983747,0.9362602063835929,0.8974549801480581,0.011497111670165908,0.011284366272162873,0.011393544961492018
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,1.0226254992124788,0.9677849825721979,0.9977267080168488,0.0082810076238955,0.008386945264869097,0.008334095157147238
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,1.0294466540947835,0.9668391766984941,0.9993916007173529,0.01517115820053732,0.014565728393488096,0.01486964229833354
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.9309421596078201,0.9390577852168692,0.9348788961544764,0.02613601989294817,0.02577779904105074,0.025950360396202167
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.9399407620636049,1.0320809351818385,0.9807248281008913,0.013955950676215259,0.014423893968738425,0.014194093333927106
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.8447055353083834,0.9716609377337148,0.8999937939501936,0.013528380361955849,0.014667283900343652,0.014056159884770325
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.8873796020566961,0.9946905209302794,0.9316828571664642,0.012617677813862535,0.012586016616718992,0.012603911404259576
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,1.0070526124137333,0.9900948231725565,1.0005136942901036,0.016103299109238158,0.014243571200964228,0.01514139173029764
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.8835618686607641,0.9805508172368589,0.9323145965112112,0.017372557613014202,0.01784290486646292,0.017623407509132213
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.8321159161894014,0.9425174043944143,0.8783118148996953,0.013559761810678111,0.013402385232231069,0.01347963744142838
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.8649067059665474,0.9829222807975322,0.916368283105933,0.02089645696161038,0.018461081109126577,0.019600390446081185
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.7852633511295237,0.9599270301691568,0.863051592967865,0.01062281685166587,0.010764826080224308,0.010693821292243685
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.9181925269023422,0.9249355552174375,0.9250588338751352,0.017887684937376944,0.017313028076170155,0.01758798724787193
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.9199243803660325,0.9538183134923242,0.9369959810352048,0.014489205232885967,0.014117575676822577,0.014303659997352397
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.9516574271859422,0.9626516312210277,0.9571183504997979,0.009601729413983722,0.009566129770307638,0.009583834164171552
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.8917976192066371,0.9834817090288064,0.9306324297123609,0.014378339083173368,0.013293555213937396,0.013796669387937149
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.9595005043329492,1.0158551820623969,0.9856319920361526,0.012759363215779172,0.012671295968260424,0.0127169816226821
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.893765490066677,0.951195015706691,0.9229314838427031,0.011878936545504764,0.012010585612320978,0.011942543408543704
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.8381998903324837,0.9095485610479657,0.8692918128548985,0.01792329258556803,0.017242698438304838,0.017582833722587808
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.8747422911223987,0.9127284048581575,0.8951781775931733,0.02391094415639418,0.02636933104272117,0.02504619110087539
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.9358672356302029,1.0090782550701063,0.970108687644309,0.022122407913706434,0.02376538073199878,0.022902333604259736
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.8542794973276611,0.9247341995632744,0.8913119457551645,0.014792406165806299,0.01461799661765743,0.014706690355496582
