id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.9094057826028211,0.9696839072822484,0.9429787261909189,0.011563588384265399,0.011226037080666076,0.011393544961492018
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.9234017672300181,0.9834609132257344,0.950712802294253,0.009090581774515999,0.00921539444544173,0.009151451953386451
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.9190871254591793,0.9201480633123281,0.9203318186650086,0.015363137746945778,0.014376134337597561,0.01486964229833354
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.9984115088461173,0.9564332396739468,0.9830715010113489,0.026304680725451144,0.025602665622155026,0.025950360396202167
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.9798906052757148,0.9676110072110952,0.9763673618580164,0.014047583540461532,0.014349303588651696,0.014194093333927106
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.9165883226748314,0.9163679274342942,0.9224626982542962,0.013956506728345903,0.014123461198610784,0.014056159884770325
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.986754635939771,0.9639467040659074,0.9797938702201804,0.01174648664831755,0.013527198418000255,0.012603911404259576
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.9560388241939906,0.9590398418252947,0.9594045925864451,0.015342628204782254,0.014936110898789429,0.01514139173029764
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.8829901949453427,0.9679150742056835,0.9267634793790943,0.01771028722639794,0.017538537385322517,0.017623407509132213
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.857192062995596,0.9632696351064246,0.9017805869916022,0.0135736027477456,0.013384045855938154,0.01347963744142838
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.8766582702702379,0.9544493346928508,0.9138980360359663,0.019875571033714786,0.019330730826663665,0.019600390446081185
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.834905720581669,0.9352452159993778,0.892588900170646,0.010665130199592308,0.010721092526489895,0.010693821292243685
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.8610452112054114,0.9371441961516741,0.8975074243301726,0.017281117384958026,0.017898086706425252,0.01758798724787193
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.9485928394235094,0.9558628676010043,0.954442192912985,0.014430203267344484,0.014185357538087678,0.014303659997352397
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.9634971335849369,1.0023658076571522,0.9822914997830274,0.009606837127360329,0.009559704728429683,0.009583834164171552
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.8426652634039326,0.9345775965055223,0.8826358949739692,0.013682862358330295,0.01391647120236526,0.013796669387937149
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.9586894094638909,0.9739254400309632,0.9664594408290796,0.012395834781427658,0.013083101042365004,0.0127169816226821
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.8651706303940391,0.9623601092914552,0.9083503798668973,0.01202061924350267,0.011867639050838664,0.011942543408543704
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.9374530385293781,0.949671028767615,0.9449877592615212,0.017789175043045686,0.017376947430024443,0.017582833722587808
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.8441337551113869,0.8706639674952303,0.8616138756836659,0.025693672043042067,0.024469411659679915,0.02504619110087539
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.8996995585629277,0.9604119224674054,0.9301587890394355,0.02370984085069655,0.02211227807410753,0.022902333604259736
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.8316896108917622,0.9938809517068923,0.9084620016501881,0.014518375974492386,0.014900248758327878,0.014706690355496582
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.9173603563445483,0.9933468361581268,0.9514841723397112,0.015863158679701353,0.015390207470967832,0.015612194904731997
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.9328800624505001,0.9564490606440216,0.9453074204224341,0.013865449838274773,0.014449821887167423,0.01416872808918572
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.9137330235024552,0.946134786347453,0.9306076512015513,0.01119404804155918,0.011468682441594078,0.011322219034060398
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.8069076770956377,1.0025902370723228,0.8982438844087568,0.013231318318297701,0.01307136708212746,0.01315207755671012
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.9390383332577318,0.9879310391162818,0.9614096811711463,0.016883885194900822,0.01655753698169799,0.016719093569197385
