id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.012575626683633658,0.023421382751783782,0.01325206135741612,0.012722055775578995,0.010694169642202371,0.012041151679200803
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.013008076217335037,0.018408110849488835,0.013574274011264141,0.009239967445301202,0.008073471276460324,0.008657116294483697
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.013153607228558068,0.021103479845725418,0.01399456094073576,0.020631255082106732,0.015757180492569932,0.018590594566123955
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.010477717061202539,0.011187454707265582,0.010560797543403874,0.013011131381515311,0.013933028715119276,0.013455949717934814
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.010896960196502263,0.014395234598826029,0.011405010619034714,0.015727634865211282,0.014529524568223663,0.01533439895753943
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.014125621745086622,0.020237443232100492,0.014716887519707662,0.013922032758416192,0.010649821128648741,0.01241144908405361
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.012770846889927079,0.016668835399297522,0.013215245060445625,0.013361938149135277,0.011296851410077073,0.012551268407443106
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.015671152990028813,0.029530350833065478,0.016958665967765216,0.015554174047004762,0.014551983589919342,0.015308364532538674
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.01322272039169601,0.022569138105652954,0.0139354081294366,0.02274790186013843,0.018723242537496708,0.02147213604095739
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.014020569670272716,0.030706867591070223,0.015245595639960299,0.017353963049395436,0.013458455002275604,0.01527131271355907
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.013431136416105565,0.028087267454177056,0.014789677906033768,0.024563061723795517,0.02420408277753336,0.024577644258938307
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.012323924905422052,0.02616690638653135,0.01348370671055753,0.011620281569720697,0.011501140747014716,0.011638531588141317
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.01703405347689727,0.04209534340449453,0.01926622724942522,0.015217401550767977,0.016613642891733962,0.015847553547897478
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.01428059766070116,0.05236440049726295,0.016352668290823557,0.013944884991861603,0.01426734252796608,0.014138948678349765
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.010705367329992221,0.025353971786739562,0.011436541999330446,0.009733363500597171,0.010089977684454344,0.009876358088462446
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.015955462249198853,0.03389238969751288,0.017160759643520224,0.013246451474225839,0.0128467562790637,0.01318808288166118
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.013851242819098213,0.027386979165807315,0.014866035649315316,0.012617013923167816,0.011731127616244928,0.012281447748892099
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.015871687623477584,0.0367175965471072,0.01742283503145106,0.01547607576049408,0.014298241235421654,0.015072579481526828
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.018277694760856677,0.04713269844873459,0.020361871646751243,0.022792116415644315,0.0204240303376289,0.022015792484522113
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.01660370404551756,0.03805390136510817,0.018401625034933828,0.016082270016103985,0.014720393540430494,0.01560735202753824
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.013190286737672878,0.036868221580102584,0.014210401064972676,0.01749151286689961,0.020151319486467166,0.018280577322061235
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.014621834843385547,0.03885835013350245,0.015998157948313288,0.014781199528128721,0.01459087057883821,0.014828488960300512
