id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.020907376908292877,0.05954777282745767,0.02274670164827861,0.012133076300192471,0.011560723532899442,0.012041151679200803
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.022142625614968988,0.05503033425068391,0.024119323201372184,0.009269144844515185,0.008101517989002032,0.008657116294483697
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.014822977755893833,0.0556308647618671,0.01608254836978006,0.019738836181829204,0.016659723976374944,0.018590594566123955
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.0121910491531998,0.019742780653522075,0.012458703822502377,0.013073750419470015,0.013862815208541778,0.013455949717934814
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.012158684727289,0.028006740921989612,0.012972360376888993,0.015451497454794207,0.015032217848703964,0.01533439895753943
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.01762056512145343,0.03601482695204324,0.018793485892365253,0.01401683148791376,0.010605479056834151,0.01241144908405361
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.01831628555479938,0.026140634515760278,0.018999399355908102,0.013757109763151039,0.01072083541444152,0.012551268407443106
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.018552509910187163,0.06355509810132702,0.020899714917490687,0.015805515798710194,0.01404768040886034,0.015308364532538674
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.02212645651799193,0.05267386098426562,0.024024305448715946,0.022331925829190937,0.019394856126778708,0.02147213604095739
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.023117674892542444,0.05254335653939844,0.026227335958784233,0.0180461483834319,0.013161862767566833,0.01527131271355907
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.02627137107996886,0.05032552961112904,0.029956897325670206,0.024366734367872987,0.025007345737187367,0.024577644258938307
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.017854963924838787,0.05102890343358438,0.020103644792089106,0.012057977999253832,0.01100764447140681,0.011638531588141317
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.020082224957144526,0.05295450929175894,0.022891581313947272,0.015061014280855276,0.017343837876517755,0.015847553547897478
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.019394433974658933,0.06355472435635748,0.02302816304903762,0.01416583119070224,0.013487563634855291,0.014138948678349765
