id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.9688847479911402,0.9804623284670952,0.9748803853744419,0.01213687096132281,0.01193438937010831,0.012041151679200803
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.9425620403406774,0.97824992918109,0.9598103046780643,0.008027898069983837,0.00806867758802205,0.008049062122291341
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.844892633445647,0.9580873296455787,0.8890360384125111,0.018975239759789913,0.018180611504228776,0.018590594566123955
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,1.0079694672663466,0.9749692463803333,0.9946065783663715,0.01348100769330125,0.013432219269663233,0.013455949717934814
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.8992632980623724,0.9461629306650693,0.9234564269840145,0.015191383170997823,0.01546461303895202,0.01533439895753943
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.864793524129687,0.9368608119964716,0.8982340029883127,0.012063819740453514,0.012808613504101339,0.01241144908405361
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.9514739122897661,0.9947520246545204,0.9722432770843463,0.012397548100086612,0.012691585931139992,0.012551268407443106
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.8062243143165501,0.9441308380923896,0.8810080690055919,0.015916139882424,0.014722092151825928,0.015308364532538674
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.7984053373851905,0.957152795876771,0.8724397631901811,0.02092779134277394,0.021960390442701216,0.02147213604095739
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.8573206075822292,0.9374837620184806,0.8967381292385184,0.015395845929437567,0.015153953578281861,0.01527131271355907
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.86736903120882,0.9639434204835888,0.9175081529398165,0.027754219627279465,0.02213192807734311,0.024577644258938307
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.9978028373998769,0.9819627807320801,0.9946011134472923,0.011602488602489584,0.011674374675112082,0.011638531588141317
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.917035636432677,0.9582820525325149,0.936539576997936,0.015535812543960668,0.015303290923265055,0.015416340758436984
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.9207093399071837,0.9225472933351361,0.9231480980809166,0.014407758012144922,0.013864837312865726,0.014138948678349765
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.9798067843469163,1.007622218256119,0.9932211201499831,0.009925213380293995,0.009828996285700295,0.009876358088462446
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.9488438487097315,0.9559738422226134,0.9541148632808288,0.01352006155607759,0.012902803739713016,0.01318808288166118
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.8575222104767526,0.986011900560722,0.9145789496608674,0.012212816568446293,0.012346844639425885,0.012281447748892099
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.8443962667348951,0.9310173779522695,0.8824941913226038,0.015066073364201425,0.015078527853836093,0.015072579481526828
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.885319404296414,0.8917663153743807,0.8904400141714681,0.022114474259956093,0.021911526084279258,0.022015792484522113
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.8852116522947693,0.935234646357242,0.909570081528326,0.015570362287294932,0.015641160133378056,0.01560735202753824
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.9491126035247761,0.9736782222165468,0.9631119690887828,0.017803116770342693,0.018818595389133642,0.018280577322061235
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.8870651663545559,0.9592037678655042,0.9180818467020132,0.014977405375178882,0.014676041277850235,0.014828488960300512
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.838746412270468,0.9731232651695682,0.9005691338399499,0.01690435509878106,0.01655248043658599,0.016726578478269465
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.8943395889981177,0.9190492795894093,0.9104101139666039,0.016654598848747853,0.01652121543205071,0.016610086178220126
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.8046745095271237,0.9289019706859101,0.8643785935465369,0.014855821351794864,0.014742270736071515,0.014801690651601642
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.9407731549408103,0.9548720664130003,0.9477930207841898,0.01618995557290115,0.016218510716083056,0.016205954115809582
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.9327664054641525,0.9404574842489056,0.9368865814060819,0.020311187613725384,0.020711396933064133,0.020509598006891103
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.9174243250490579,0.9597313400831861,0.9392110070946931,0.014105341279287342,0.014000499120979974,0.014053892574984912
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.988311619445844,0.9413404840493116,0.9669301938480533,0.020019243822274033,0.01966721419358599,0.019841151445478093
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.860788693388678,0.9376828955936803,0.8923662086914463,0.01698684979328428,0.017632468378099397,0.01729162561057645
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,1.0192465910359967,0.9559116726972,0.9873223100585273,0.013654346884431188,0.013748719249215476,0.013700902712705703
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.8335237753603854,0.9392787993358536,0.8769764244107546,0.02515881340179067,0.02261112121321125,0.023793275397693013
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.8309622603158895,0.9414023912135874,0.8835229964332592,0.014599646285677597,0.014257689115950082,0.014437169824698974
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.9736808927345435,0.9403372967569833,0.9596091631762984,0.020351393515621784,0.019404406347622177,0.019870010934251774
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.9368015259698824,0.9309791390495338,0.9365554980244557,0.01494618121784522,0.014472841841787851,0.014702278017816369
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.9697090074017527,1.035507695231447,0.999773580731144,0.011843593469688286,0.01194390527863123,0.011894481188727152
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.8706813294353964,0.9254638620697312,0.9000553679673822,0.015111913455180776,0.014856005006957131,0.014979791997664605
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.914093519619174,0.9688599147911428,0.9407555628818539,0.01899269189527027,0.017588852754820486,0.018249253197070048
