id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.9657809939824804,0.9427157663277537,0.9553378943801012,0.012152545463598343,0.011924178692467157,0.012041151679200803
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.9766422137573472,0.9710347676353367,0.9765073734570058,0.008588545056161535,0.008731347490100266,0.008657116294483697
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.8970704597834002,0.9282259961210919,0.9113565275727681,0.0197938106125408,0.017439065480136295,0.018590594566123955
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.9838952334282801,0.971477144545093,0.980730610623502,0.013542717488896724,0.013367668162454386,0.013455949717934814
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.8874810358242732,0.9357832783840593,0.9129596474019017,0.015328571100111371,0.015331671528658823,0.01533439895753943
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.8454272652898512,0.9283891991477793,0.8839995017719928,0.012308937154704087,0.012500251070972471,0.01241144908405361
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,1.029780966057323,0.9863900142948288,1.0091754404705704,0.011583085548585175,0.013567559830626139,0.012551268407443106
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.8299402320815678,0.9868205323572159,0.9110289632941599,0.015543398062495418,0.015071418713628416,0.015308364532538674
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.7949842958831098,0.9677514369787145,0.8782587521045336,0.021486206799274512,0.02145514177801176,0.02147213604095739
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.8305988669909357,0.9817495745022728,0.8973685529380222,0.01535657634830927,0.015191946971442355,0.01527131271355907
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.8447732821955877,0.9453754212280924,0.8966714436155564,0.025495189927406247,0.023768745505031677,0.024577644258938307
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.9145920387948522,0.9577920577661988,0.937838031574476,0.011554292092250156,0.011718704462072932,0.011638531588141317
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.9157144662545169,0.9492912062240961,0.9316500604305482,0.01516454384887564,0.01566634164762092,0.015416340758436984
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.9074608338138064,0.9362636450200443,0.9238516124699329,0.014300442815580823,0.013988061430155845,0.014138948678349765
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.9672284556436931,1.0024251863049563,0.9836518327658603,0.009880523387898929,0.009871433974799742,0.009876358088462446
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.907104233472397,0.9337044469132298,0.9219608022999216,0.013131827233660515,0.013245899521228129,0.01318808288166118
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.8396329394377458,0.9752244359207402,0.9002549418799989,0.012131101971116514,0.012446094408940761,0.012281447748892099
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.8684490715868416,0.9279225928053104,0.8968711290804426,0.01513831082704309,0.015006579854976084,0.015072579481526828
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.9119694330555844,0.9067418917917304,0.9123455073732453,0.022312190141431033,0.02172019000511116,0.022015792484522113
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.8367322459858404,0.9511819395356382,0.8831392707624376,0.015799668950619784,0.01543259182277948,0.01560735202753824
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.9441476101764456,0.962899834528146,0.9555372313209358,0.019093795944401717,0.017492933236602354,0.018280577322061235
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.9174461372809751,0.9373011262341276,0.92860903488944,0.014727947582174435,0.014931412479918067,0.014828488960300512
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.816358402677996,0.9924822765295384,0.8924277007177802,0.016849170787631554,0.01661321116097465,0.016726578478269465
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.8905127692838128,0.9358062315999521,0.9125154030636067,0.01654801404871668,0.016660679118078482,0.016610086178220126
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.7675383413165313,0.9416319680231139,0.8480010480524935,0.014559485849674855,0.015081168335824648,0.014801690651601642
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.9536189502661455,0.9714579956868458,0.9624244791591349,0.016117875421540962,0.016290309584290546,0.016205954115809582
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.9259926439564358,0.9490655150189451,0.9379332917054621,0.02076619928362035,0.02026050097124438,0.020509598006891103
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.9399479626162195,1.0000388527135033,0.9687896731664878,0.01407478786597289,0.014030217967194425,0.014053892574984912
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,0.9176836994718489,0.9510481555046151,0.9356085274533629,0.01961964916624533,0.020038329890883656,0.019841151445478093
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,0.8876171281735756,0.9469945365086344,0.9129002699774091,0.017235605275637177,0.01734548452896505,0.01729162561057645
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,0.9864284254431555,0.9938197637048455,0.990216747446181,0.013538173096774334,0.013877717869512755,0.013700902712705703
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.8266655036623691,0.9633061209746573,0.8752008604911687,0.0232325537810767,0.024337188572756872,0.023793275397693013
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,0.790293461381462,0.9475188003899139,0.8607368360841327,0.014349638539996818,0.014524383935368907,0.014437169824698974
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,0.9464938866127718,0.9485259179779875,0.9500829801002156,0.019351952045389472,0.020435623869801783,0.019870010934251774
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.9185161115001826,0.9186947385071913,0.9228005661009004,0.0146379921499935,0.014773141362935043,0.014702278017816369
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.9712250026014722,1.0000882147251524,0.9849372135492772,0.011918657408285387,0.01187010369019515,0.011894481188727152
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,0.8306482132887437,0.9089367221657704,0.868993546083926,0.015047006141146888,0.014903289600440815,0.014979791997664605
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,0.9391644062300198,0.9448898108537565,0.9456669313029578,0.01872333309363356,0.017745980891270382,0.018249253197070048
