id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.016446145823229206,0.048369390791238226,0.019194598456939188,0.010207736446043695,0.010730104855307348,0.010377058445973593
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.015140885617732417,0.04627496735397667,0.017929582488388687,0.008156449194498698,0.007915733913309918,0.008049062122291341
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.02748676318579206,0.06264228499563002,0.033091876073751816,0.01636340983645135,0.015022655174256687,0.01576749838312939
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.012138225057205375,0.02157821692866989,0.013090972096151322,0.014908517622286347,0.012732571260861972,0.013580538450258244
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.009894792099804551,0.021471388653283203,0.010753524869935265,0.012247108035762656,0.014853318464747616,0.012951663207166123
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.011503304077318338,0.037478864791659065,0.013276931113660108,0.010754826660164883,0.01030107193610111,0.010531936705818356
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.012901960977489794,0.01995796697126706,0.013731716947178603,0.011582412164500767,0.010405569117527108,0.01111193540434638
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.01950225067706347,0.07050944457050426,0.024213057465334673,0.013654496990337934,0.012654432126312487,0.01330959277581534
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.015647249383726265,0.06250334138755917,0.01863289223839948,0.017411335371789856,0.01700124434078165,0.01730876467358428
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.014625860340669821,0.03389486248845696,0.016566703109529395,0.014319093816290351,0.013118791052874307,0.013664337116501094
