id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.026419830064722573,0.04939737011821838,0.02807457829789056,0.02218047134417526,0.019051568732288963,0.021168381399576386
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.03946170610057991,0.08651116875067252,0.04220267304921952,0.02582140780621488,0.02295660423138498,0.024388540763233765
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.04659176318004567,0.04397893666289875,0.046414664885294256,0.029951957803067895,0.022402530765121074,0.026719915726127814
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.034263695645489325,0.039183490790427405,0.03499810895070854,0.023492613284713824,0.02062713198482633,0.022168070062718825
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.03297693792585868,0.03854154736223095,0.0339044493945831,0.022298685974798022,0.020455494540513694,0.021749658716079503
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.032399907943846465,0.03318162482665143,0.032538301375140036,0.03275875032402031,0.023878426832435254,0.029099578561523794
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.030528854759541705,0.03239667786414435,0.03084963388091905,0.02123508996011909,0.019536842186462268,0.0206669817317453
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.03493978848062408,0.0544166812326788,0.03742695035182216,0.02664067245403135,0.031089713573192266,0.02786186801910676
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.02428079587458193,0.03852043579842951,0.02578089580983094,0.032958394872187415,0.030692610259564535,0.032253211469178575
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.0212494368285687,0.04307850596373445,0.023316950989994856,0.02436687478282258,0.020307896833583694,0.022023396367476626
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.024246223512635025,0.03883755189819303,0.026098161847012833,0.03204947093646916,0.036254619384298435,0.03311633044323372
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.024754401857003012,0.047983527993090705,0.027215861758947187,0.022175244918267778,0.02096097703116822,0.02171454975990443
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.0306908588682537,0.07487808661318715,0.03514311517135728,0.02736375401283519,0.026088832725853422,0.027010364430960585
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.03158598012442966,0.08064365033111882,0.03756652707804858,0.024674461448179315,0.021929686887210444,0.023664345605177297
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.022840277581766818,0.03843062275312462,0.024490887146712662,0.026329694315717772,0.02185814452969988,0.024370013390419554
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.025974831583867066,0.05040327772560632,0.02833537316886756,0.02487044546682469,0.01998658679962226,0.02252867290275971
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.02532253011997246,0.05001177305436519,0.0281009234969568,0.02762469912571228,0.022723930108238755,0.024990867068576728
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.024455079369781918,0.041010604269659905,0.027089751515907798,0.02330734641549589,0.021487206970214216,0.022496691469505108
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.02826057255832441,0.05325848191000386,0.031126761060057635,0.03349090853511145,0.02537907195947243,0.03056735038644785
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.030182864345266208,0.06671051796898736,0.03380840478525547,0.03041203509050881,0.02338886957713933,0.027718245044148656
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.02595270507699516,0.05944141220966212,0.02822268622060626,0.03469813046764731,0.028714621895165646,0.03295619027682468
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.026819062295905596,0.056344597042643586,0.029762506338775415,0.046930622928894355,0.039238309682095227,0.043799692087675195
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.034578394882229024,0.06229354981556161,0.038948363314079804,0.031128786072545704,0.026555881756135078,0.029249014616614007
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.022448364140133726,0.04114788850841432,0.024590128578706155,0.025059422084169225,0.028730415943796238,0.026264308558916396
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.04060664167885322,0.04555298164464763,0.04189416351903912,0.026234174256760258,0.026782811033909,0.026459444974636957
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.030989042346679853,0.061372829562848126,0.034148467976391275,0.07041783162217373,0.05037931609676364,0.06223369522459188
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.029288591101367886,0.05842180848757289,0.03340968514458896,0.04050273330792827,0.04256328945489146,0.04138669170143335
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.028791446466680727,0.048188039045622896,0.031314018993700725,0.025549230421334397,0.02579800116820671,0.025684150661925722
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.040615310035560195,0.0958150863939684,0.04818267832680875,0.026123936506653293,0.026277752632417474,0.026366965725768007
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.02115625756281376,0.036930580852350826,0.02248342164467107,0.03722235303293236,0.031064411711604345,0.034615103621370345
