id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.03587294063140054,0.08335121458039663,0.03838531059446903,0.02117100442881717,0.02100176484546036,0.021168381399576386
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.048986576559583765,0.17434069941858268,0.05316089206547532,0.026233712769289978,0.022902434879203352,0.024388540763233765
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.0802413143024605,0.1282006892704538,0.08210172425335009,0.03002902828610223,0.02253663343713037,0.026719915726127814
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.05522548785041546,0.04663477534948689,0.054121526767035466,0.02360777316865923,0.02051939988957212,0.022168070062718825
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.04316280328888746,0.04578195490270486,0.04367267298092727,0.022324744894232803,0.020491386953012617,0.021749658716079503
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.04047097665648415,0.044340230558132514,0.04088894586132925,0.03294175021794095,0.023806749765602497,0.029099578561523794
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.03877846334626883,0.04042162001098419,0.03903271355938802,0.021189655771487934,0.019300850550420592,0.0206669817317453
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.039835742056041436,0.06408079301543991,0.04285500855674594,0.026708055036564062,0.030907665079407502,0.02786186801910676
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.02944916825229059,0.04244380028710806,0.030809001585082017,0.032385275842659884,0.03167791084896023,0.032253211469178575
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.027049326251358623,0.053483465150750226,0.029890648403804076,0.025507855519324066,0.019775805235380254,0.022023396367476626
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.029125201061451833,0.04448045084317076,0.030957779596061285,0.032977917899339314,0.03299341966796092,0.03311633044323372
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.030639190614616688,0.06067813181877364,0.03376935275183754,0.022525457236738083,0.020855114080041016,0.02171454975990443
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.03682072549830524,0.07669161095797034,0.04202146434390955,0.026557917185277457,0.027615835954205147,0.027010364430960585
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.038212187027083074,0.06941477663891919,0.04415839751601142,0.02470526704939903,0.02182323580223496,0.023664345605177297
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.024320885119975506,0.04246095074243186,0.02634785463304542,0.025719631671059492,0.02226967723298903,0.024370013390419554
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.030775502754354936,0.054625038046603354,0.03332157872454,0.023404401266326907,0.021008231305177916,0.02252867290275971
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.027749864237248997,0.04763092573921047,0.0302820265264291,0.02731379575934512,0.02306734352052218,0.024990867068576728
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.027956872514098688,0.039720817722607035,0.03048565770851356,0.024185174123324202,0.021021663861834114,0.022496691469505108
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.03698388866694574,0.05324774658031204,0.039656310838511295,0.03289786279592002,0.02595833909942744,0.03056735038644785
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.039480069181131006,0.06763122571447337,0.04293952794045962,0.029801022602699814,0.02386772350957523,0.027718245044148656
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.03553428517968781,0.06249565518285933,0.03831409173723515,0.03387094646772205,0.0301103988734132,0.03295619027682468
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.030697174017270682,0.053811435723752354,0.03345319597681015,0.045601536957393905,0.040581013372852144,0.043799692087675195
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.05473557481316413,0.07114961259244332,0.05829128173544408,0.02832704874127622,0.030823428194729587,0.029249014616614007
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.02507664034526872,0.04196939953252162,0.02705198038705263,0.024651942891350993,0.02959067977066933,0.026264308558916396
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.05274333003453548,0.058528259932285276,0.05405044991385223,0.026094720614665633,0.02713766528062025,0.026459444974636957
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.04305700776277136,0.07939879992241562,0.04691685752049641,0.0725981453021807,0.04732790971517261,0.06223369522459188
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.03849133696651519,0.061625982387848575,0.04262365192510681,0.036067036268129606,0.05343190679233783,0.04138669170143335
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.030502472622483578,0.05211432459544293,0.03306033681269151,0.02533984177232355,0.026200566745265958,0.025684150661925722
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.06130067091661091,0.10472276092227756,0.06983786197728943,0.02560258100065726,0.027432219804513203,0.026366965725768007
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.02514182636956349,0.04081437904831257,0.02668160259576406,0.03674336969521852,0.03149973193936906,0.034615103621370345
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.061109435539175846,0.07931184483098806,0.06384886021942582,0.0382087607669957,0.029081614488640807,0.03460250310614415
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.035722604192559314,0.04764499977389019,0.03699487517843554,0.03509641195045154,0.023854874116977516,0.029616307445876375
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.04682403488067065,0.07073368759454021,0.05014413332890312,0.026327453560199214,0.02260094502319171,0.025044203496749014
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.0501426748745721,0.07282130295337182,0.05267136745274865,0.02913033410183797,0.021937975191080965,0.025940052140723285
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.033949221083834066,0.04523549256641044,0.0356264442306744,0.02332156554129959,0.024117914742122316,0.02359039167322732
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.024735111746431553,0.053784206355215,0.02641077322810733,0.019803660465781994,0.018400601782859887,0.019263665225355227
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.03858287397058465,0.06629241863138409,0.04163512543232868,0.021818132846118707,0.021737747192300486,0.02185170087920618
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.06197457227466853,0.08455162913824772,0.06546330692781023,0.04100262603246277,0.030004126515313992,0.036589665915447996
