id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.9776965385089833,1.0085426182155612,0.9929685944529062,0.02126764182794347,0.021068835616405553,0.021168381399576386
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.515061382649674,0.8561008178597626,0.642685847345339,0.02287426248326335,0.022777760989408032,0.022827101105569028
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.9394974131901556,1.000825277219002,0.9693240188999631,0.0273383076131608,0.02611764012632199,0.026719915726127814
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.9568250491450218,0.9528232481355021,0.9553217531855033,0.022172333171411682,0.0221607555484698,0.022168070062718825
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.9689927781816267,0.9405926480498942,0.955317894905081,0.02152052236057805,0.02198254412683976,0.021749658716079503
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.9705119979901516,0.9795536070183843,0.9751875126159639,0.028391441250415865,0.02984620691225743,0.029099578561523794
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.956105048464159,0.934023065855203,0.9457119204396311,0.020366861228882663,0.02094976861320033,0.0206669817317453
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.9131417959881967,0.9365829278516483,0.9245078841987265,0.027679166725827997,0.028045231354540543,0.02786186801910676
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.96911557623727,1.0126917456787285,0.9903775538623333,0.031861792024161485,0.03260957790731973,0.032253211469178575
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.8626477024402149,0.9211784417038335,0.8926234221550322,0.02220024426777574,0.021847058657879323,0.022023396367476626
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.9167381703789622,0.9227729247883828,0.9202703264817547,0.033269404450822264,0.032650149974825016,0.03311633044323372
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.5485120210419616,0.8041325679661333,0.6544381927468079,0.021646794450549962,0.021781519697331907,0.02171454975990443
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.9324056183702566,0.9418148409243393,0.9373215324917831,0.025703668444171802,0.02541311956960218,0.025554996992232352
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.8707014330531102,0.8897338593394714,0.8814869101527792,0.02439466217383009,0.022955521795210095,0.023664345605177297
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.9448740940361301,0.9495763609496334,0.9474368602542095,0.02426635332755208,0.024475322021019378,0.024370013390419554
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.9869018887753842,0.9547677811294429,0.9711138363609586,0.02314231044317696,0.02197145378165334,0.02252867290275971
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.9407933643362913,1.0160024167851343,0.9770186526984063,0.024882309414760925,0.02509594431985039,0.024990867068576728
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,1.01804282198279,1.0005332313994717,1.0093985684482873,0.02215699871857111,0.022880100565204398,0.022496691469505108
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.6889388744699594,0.8462218733372014,0.7628369516169071,0.030759719015094823,0.03036036237487798,0.03056735038644785
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.9740745548739939,0.9815291046656768,0.9779907773480445,0.02807863672397522,0.027328629291100665,0.027718245044148656
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.7860001351262794,0.9176642153138118,0.8485074882284855,0.03408144286628677,0.03177895861120365,0.03295619027682468
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.7189623895915648,0.850367565906706,0.7805267160267788,0.04243336640677066,0.04530916012127438,0.043799692087675195
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.9776162310925344,0.9790373603226138,0.9788521619665477,0.030098768321157498,0.028488850061603607,0.029249014616614007
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.9682234610250039,0.9860607654043982,0.9771197140828699,0.026730929203797653,0.025807830501711752,0.026264308558916396
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.9278143014658095,0.9610339177747865,0.9440047107523025,0.02672513832454059,0.02619076964892251,0.026459444974636957
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.9779633746253756,0.9920350998371747,0.9849782586634085,0.0631281611029286,0.06140796805897604,0.06223369522459188
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.8762719007872839,0.9391882319186162,0.9064749186588219,0.04193221578407074,0.04084069130025295,0.04138669170143335
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.9926035144819242,0.9910777951482291,0.99208319219771,0.025707361220024115,0.025656791472999988,0.025684150661925722
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.8270161790485665,0.8346741365495494,0.8311754142254526,0.026616328133828426,0.02611683833033781,0.026366965725768007
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.9586587300263221,0.9646160136990285,0.9618490549831861,0.03378367056421538,0.03553776615018526,0.034615103621370345
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.733857282514664,0.8984458673357592,0.8034072650905718,0.03393728368683227,0.03535015412666388,0.03460250310614415
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,1.0047054782097697,0.9907440290450609,0.9978961358315299,0.030123405433752644,0.029088025737512076,0.029616219919086004
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.9485347652889612,0.9734394233566905,0.9605805536612858,0.025660398435087155,0.024401536657754755,0.025044203496749014
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.9630790367825961,0.9872822659573758,0.9750563113405079,0.026593674214492886,0.02532821008410766,0.025940052140723285
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,1.0186441197869194,0.9425355779725014,0.97968213941566,0.023885316810950755,0.0233107974368253,0.02359039167322732
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.9645675877374149,0.9740580950496638,0.9693777488497961,0.019082687931302834,0.01944260239535856,0.019263665225355227
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.7899344126474512,0.9364632584407673,0.857811703440573,0.02176259906467727,0.021936604732809912,0.02185170087920618
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,0.7786300526436629,0.9020951042718717,0.8367798676357602,0.03699699894068297,0.03614801560579868,0.036589665915447996
