id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.9278196750047345,1.0090107923108356,0.9664175908653467,0.021285887341851738,0.021039783088459576,0.021168381399576386
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.5329814160230579,0.897957612380587,0.6703038845503474,0.024192040076470044,0.024607753172363495,0.024388540763233765
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.9131228304164758,0.9245894535871878,0.9189858949957591,0.028080091602464278,0.025414463933078387,0.026719915726127814
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,1.0201688434593148,0.9769855255037002,0.9993277668589668,0.02230998334426667,0.022030006788614057,0.022168070062718825
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.9552333788289893,1.0095059255651249,0.9810158159386527,0.021316555678522166,0.022243787893363606,0.021749658716079503
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.9316450722385133,0.9329368424196328,0.9327401965678561,0.028877704825100246,0.029271917884776462,0.029099578561523794
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.9625086945964616,0.9608175083688073,0.9620164368873714,0.01991894104706323,0.02137220730869501,0.0206669817317453
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.9382831305657187,0.9744810955511767,0.9556517699991839,0.028589478728367382,0.027157704635630033,0.02786186801910676
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,1.011824874240296,1.029408706765878,1.0206206599845074,0.032226527347483616,0.03227560573801738,0.032253211469178575
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.8358759136866932,0.9382565995729202,0.8840604013776179,0.022360538307729466,0.021721388294682693,0.022023396367476626
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.9064068772719338,0.9776730974296339,0.9409672059876278,0.03426285718338975,0.032111208684354235,0.03311633044323372
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.5088724447311961,0.8666428159446604,0.6462633098857874,0.021697534396048768,0.021730736202055134,0.02171454975990443
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.9677853525038213,0.974306919550298,0.971528635280089,0.025506171739651876,0.02559827962692453,0.025554996992232352
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.8903412406774438,0.9351920459536919,0.9148181181021287,0.02430523262543054,0.02307402009222363,0.023664345605177297
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.9759344353900882,1.0269371202848196,1.000809086182647,0.024460625273316477,0.024281083103817446,0.024370013390419554
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,1.0189589572530129,0.9768378178705919,0.9978770627285907,0.02239515953494812,0.022670665659471657,0.02252867290275971
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.9864083973960937,0.9729490108628587,0.979855329493124,0.024660420330912418,0.0253328618975409,0.024990867068576728
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.9681231206264768,0.9984818752228681,0.9832161244615855,0.023023820339303572,0.02202592059490453,0.022496691469505108
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.6929176700368775,0.8458318778373224,0.7614807666229337,0.03167535378193353,0.029447499814039654,0.03056735038644785
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.9296944289818394,0.9752733918314124,0.9518686225954112,0.027871526902992383,0.027561125148452156,0.027718245044148656
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.7788364738831841,0.9212941524119783,0.848898788691256,0.034446405937541114,0.03150799866266362,0.03295619027682468
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.6636813073687099,0.8959629213462573,0.7685885573991766,0.04494106528591634,0.042718239063964755,0.043799692087675195
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.9079815326574008,0.9391414255859069,0.9234315659149065,0.028488214590253223,0.0300122551286775,0.029249014616614007
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.9626375075812806,1.0172663347621833,0.9889958456078517,0.026160367145959262,0.026363042727497114,0.026264308558916396
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.9832098648511143,0.9417129286096293,0.9630758942146818,0.0256777663089619,0.027393018795359762,0.026459444974636957
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.9819371325255587,0.9932903809619604,0.9875548344662971,0.06235486804325261,0.06211925252865687,0.06223369522459188
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.9912862013841165,0.9780172248178223,0.9848766502419135,0.04106490506959648,0.04168753567331509,0.04138669170143335
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.9538560652031052,0.9601738354950727,0.9571075489145916,0.025697905618923815,0.02567010811850528,0.025684150661925722
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,0.892720216860527,0.873809613950959,0.8892052877065959,0.02587783798479372,0.02684695576764811,0.026366965725768007
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,0.9790755469053616,0.947216625629876,0.9634030098391844,0.034782427548437196,0.03443297707792571,0.034615103621370345
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,0.761790907796496,0.8287402032055268,0.7972244952336589,0.034568691776222495,0.03461917088676914,0.03460250310614415
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.9815324768804291,0.9816531094291943,0.9817431550038939,0.028810497750681053,0.03041082806449098,0.029616219919086004
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,0.949426940093069,0.9791875865812618,0.9640831667317818,0.02506241955901434,0.024946163151479718,0.025044203496749014
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,0.985568462533575,0.979201038731977,0.9825985787108172,0.025803204115048432,0.0260552978391196,0.025940052140723285
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.9853357124519132,0.9798088731416852,0.982734065406198,0.02356191530671443,0.023620377909560984,0.02359039167322732
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.9733349663750701,1.0001661065039373,0.986629343903017,0.019369354924149325,0.019164916318581852,0.019263665225355227
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,0.7104559829238033,0.9372224251396253,0.81400492180194,0.022015031492640766,0.021686873502306227,0.02185170087920618
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,0.7955167142412856,0.9368153175639066,0.8652363462011736,0.03816003850117749,0.03496682010678564,0.036589665915447996
