id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.0305669586116468,0.0675594559845073,0.03466112953398221,0.018403311633293274,0.018771413760946962,0.018516626446154677
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.07269821941995454,0.1981751871385837,0.09177819393027503,0.022891399949482125,0.022748556647252956,0.022827101105569028
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.07366400125030018,0.11556392890198974,0.08122847813943562,0.02022564114823657,0.0205158668586708,0.020393712571344105
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.025397424059715255,0.05642643320622216,0.028430554663955734,0.020792463418752467,0.02013847733424183,0.020420446968933983
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.02779089986916615,0.04724418045211869,0.029800801461245773,0.01991551968399606,0.019918399601287794,0.019952539672846763
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.023526920312652456,0.050611637106057136,0.025699612684662376,0.025244536091360112,0.022583001487830927,0.023929680468861344
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.028031442610115274,0.04207961249466117,0.0301058859117348,0.01994551928188508,0.01868884166189946,0.019475310047806945
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.03906570469192606,0.07254898697842586,0.04423358294688699,0.024436887689876067,0.02766916547757959,0.02546517008414413
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.023303242402704944,0.04479274036021843,0.025396277865984123,0.02851578149860425,0.028415211606217936,0.028506729298452792
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.02120857931032608,0.042169714185404425,0.023279806103821684,0.022272902337355127,0.0199000950074466,0.020938161422226532
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.024164075107587852,0.03985649465881005,0.02619338538277604,0.03321955857252895,0.03387505491294421,0.03364502706588397
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.02591821084867724,0.058803020282904475,0.029059607090555925,0.02123206414682948,0.020440841641383278,0.02096148305573455
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.03893926995459873,0.07718817886959968,0.045081674798387844,0.02486071408260018,0.026530101084897794,0.025554996992232352
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.03424117230196707,0.07919364737585431,0.04180338826995186,0.02227350848181811,0.021440176655137977,0.0220637431435078
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.024068189873890415,0.04045650396612091,0.02647960799615715,0.022004740585165397,0.021289350871798864,0.021706699911649734
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.030509292391384453,0.06018453467410059,0.03442052122737755,0.021257347253746117,0.019715631213754803,0.020642646774586118
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.02473239767152346,0.05035311612312258,0.02768111623280849,0.02177118438355763,0.02205980998078645,0.02191550966442421
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.023985591183712407,0.04031908649061395,0.02682016671722936,0.02145386585899448,0.020084109180119467,0.020777721858625503
