id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.02906552281813357,0.05637690702624128,0.0310399487219245,0.023111905168678924,0.02087883014774402,0.022405118785939468
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.0286073910363508,0.038687258843353126,0.029555493907412942,0.02104256263756588,0.017848860730970008,0.019457655990600665
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.030540385284713055,0.03920019432706934,0.03133916293759858,0.028016111520565237,0.02219693335910625,0.02557237731751967
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.022234124062274742,0.032672452889400884,0.023211809928234205,0.022356972956444197,0.01983174819516343,0.021231143603705004
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.02342743351307247,0.03227472057559973,0.024526441881816963,0.022813422984436674,0.020869638417248586,0.022246220791566084
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.02970245335764918,0.03134521093378201,0.029906514408463064,0.032413933126865066,0.023984021741743935,0.02908331920135543
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.02959795012533016,0.03867530446118537,0.031106350445210037,0.022471771980225038,0.0224174480664427,0.02256960192165918
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.027600996388579657,0.044825848986009637,0.02933147455318801,0.027100830052071912,0.035036731997244865,0.028994777930965204
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.021883761770594288,0.04199509235453642,0.023463849593313265,0.05049517624173164,0.04778480926090247,0.049666306902881895
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.02017606490336591,0.03346863510679876,0.021380946912597888,0.02771888874726113,0.022432455356487024,0.02465278726293774
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.020320731452318365,0.0306187092379075,0.02139876792722765,0.041413227362429625,0.04638568375655329,0.04278874657789381
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.02136327427162208,0.04366861413309405,0.023252542833132703,0.02209770676648117,0.02074823150270426,0.021667549481734896
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.02923072642301373,0.057016225669972685,0.03256791664384887,0.03414449846185999,0.042500999029100345,0.03690912383065407
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.02464283772509273,0.05265489991201372,0.02743178842470668,0.025692194479001115,0.02607242529077051,0.02600837985113993
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.022241519218603796,0.04263989353497563,0.024323451739952276,0.02813936066460444,0.022217501283008624,0.025540981045933327
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.026900339123934264,0.05779633280472309,0.02945557296851404,0.03150137656628423,0.026750889092665077,0.0296411473638911
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.025231643786506,0.04905039134065772,0.028076646833658982,0.030230169100819524,0.024948978315257723,0.027773563317055872
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.023070091901185148,0.049709059244704555,0.02603554584602165,0.022744058475839976,0.02014916558486195,0.02156878667711333
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.02136023991855184,0.04406407082325619,0.02337988569862697,0.03203542696311207,0.027618948720789172,0.03067928102910177
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.022582371829739566,0.038587091849120306,0.024001523428153634,0.025832381798716473,0.0213071681665728,0.02396408959554574
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.022167668573080987,0.05218823700754326,0.023818416109915422,0.03348696527431576,0.024716419932513847,0.030444214302912734
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.022819564464550482,0.040984472307613234,0.02408989032071493,0.03930603171900153,0.038536314021776784,0.03943387137182248
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.02685759591402101,0.04932977576648321,0.029951539330686647,0.0343180532024693,0.026785629098794783,0.030829599934261372
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.020110514842756264,0.04088426488586727,0.021798843199057304,0.02274861058738955,0.027782343229752243,0.02410928798461155
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.028732535001874247,0.04508444910168542,0.03153761707411329,0.021844307822434995,0.022882040823794192,0.022217825820266053
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.024723848113805926,0.04405175490078052,0.026508498031511365,0.05305996576065951,0.04633536547679677,0.05048684018017083
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.022438870101770376,0.04527491122273859,0.024595770359272864,0.0347174122168755,0.03147025892266515,0.03340777660169712
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.022709186670814244,0.04207549947468254,0.0243013264902336,0.025007195269426817,0.024694620460028575,0.0249689841714045
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.023144608095653267,0.051915502088567024,0.024954676663831526,0.02937520415456557,0.0294438268913115,0.0295021792317724
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.018246729986806116,0.03178463136333781,0.019476833414717176,0.03222245381156225,0.02811365059883907,0.030332414313630904
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.025569132206398365,0.04852447556504128,0.028097591157242044,0.03158122379318581,0.030375191693377004,0.031718755351596205
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.019606659588098044,0.03647687628075423,0.02057144376560667,0.03593299382504551,0.023337232282876617,0.029292830915235792
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.020609911890368888,0.03745612691402341,0.0220512601935352,0.027936244447950957,0.02392842069025858,0.026452988795085185
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.0238285610639034,0.05309414798106984,0.025739333736162922,0.03462943308348158,0.02988362488482582,0.032974652811764406
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.024146365769499252,0.05048027327747457,0.026512205135361608,0.02190371445666309,0.024030523989043113,0.022482267704352334
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.019876275757281382,0.043015058243178465,0.020923854844563335,0.024931925153752706,0.022446881238236797,0.02392340919269415
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.024359639075000862,0.04990350586267704,0.026430129088571924,0.02725527136559116,0.026127348886918336,0.0269259545926539
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.028366828083013294,0.05618583947621867,0.030821844832628346,0.03823438099012994,0.02979478797291048,0.03437579471379813
