id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.054709008233620016,0.10927337918606381,0.05877555468817751,0.02233677680279999,0.022546824937917265,0.022405118785939468
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.03771565429657728,0.07442169598103356,0.03946647621371574,0.02161241436962885,0.017711382882467715,0.019457655990600665
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.03705094452842728,0.06581953950387011,0.03814509137999607,0.027835898060246726,0.02249190233174412,0.02557237731751967
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.026320113513591065,0.048406390551990086,0.027421154319023377,0.022539233854426226,0.019671739073843713,0.021231143603705004
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.02575004160295281,0.04292028910440415,0.026901912925957006,0.022856554576947498,0.02090757167664493,0.022246220791566084
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.037320915216744625,0.04210227296219868,0.03778408211677012,0.03261043904739439,0.02388812764555895,0.02908331920135543
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.035726919576936376,0.0445475873283351,0.03705166985150363,0.022280305774700936,0.022508844899168958,0.02256960192165918
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.028929940825580463,0.05681514332724682,0.031089847859700606,0.027174748226748997,0.034734035822028254,0.028994777930965204
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.028139109338551307,0.06762854815575403,0.030765526967551863,0.0490952841584767,0.050768433257998936,0.049666306902881895
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.02490605803998141,0.04475071803386783,0.026940059749557932,0.0304536122700409,0.021337375073898962,0.02465278726293774
