id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.9257208414864431,0.9722049482542403,0.9482338189925553,0.022468352760952902,0.02233839280649604,0.022405118785939468
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.9975917132255894,0.9954475939423739,0.9970488314572186,0.01768863376457331,0.017671817776639433,0.017680801632445967
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.9651379272756168,0.9857467493467718,0.9756292422528269,0.026280918476437296,0.024900530811700867,0.02557237731751967
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.9576669310753672,0.9279776997620399,0.9430835207348918,0.02124422790675904,0.021214243019867643,0.021231143603705004
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.748606272557525,0.8659787264066073,0.8095355917864242,0.02202814074438306,0.02245795192237202,0.022246220791566084
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.8895360197830191,0.9911139634237629,0.9373001011411923,0.028150216271622924,0.030078718537178202,0.02908331920135543
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.972917925846916,0.9608102580276313,0.9672948226001664,0.022111844437164893,0.023019436481625685,0.02256960192165918
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,1.0116588711098082,0.9445678338513015,0.9774974901998038,0.028292216042827736,0.02986100266641126,0.028994777930965204
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,1.0092423559969466,0.9534713693297598,0.9810311144858399,0.04929011603618885,0.050008143653255656,0.049666306902881895
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.9286933191596828,0.9472042535457752,0.9380738701160153,0.024757557062722153,0.024540369069062446,0.02465278726293774
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,1.0085669564505115,0.9646359503185739,0.9871705748396051,0.04376412365822301,0.04154438329753493,0.04278874657789381
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.8672548266626581,0.9148872149987335,0.8907018189760926,0.02150514701752156,0.021834965994744424,0.021667549481734896
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.8927312431403791,0.9105779254916925,0.9029507115089703,0.03744321799932179,0.03553823951599998,0.03644028828513969
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.9882465857391033,0.9972412792684858,0.992911237823573,0.026788672375931036,0.025262148220690134,0.02600837985113993
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.9862581013788224,0.9793487425856122,0.983001126225654,0.025346531087653,0.025740679349415103,0.025540981045933327
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.9452473826163348,0.9876544082526505,0.966052363886654,0.030747615521838592,0.02864219879167765,0.0296411473638911
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,1.0042863545826755,0.9411591886366636,0.9720675398177643,0.027700008222347913,0.02782853089228148,0.027773563317055872
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.9809357277034364,0.9273131165629575,0.9538538061449959,0.0212575615568566,0.021925725979265617,0.02156878667711333
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.9867454907775625,1.0144379565582764,1.0005869991551175,0.030709818244904534,0.030645083209590813,0.03067928102910177
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,1.0160855929022594,1.032929707370544,1.0245067331997524,0.0241333611850845,0.023782894749223137,0.02396408959554574
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.9490313105037071,0.9449401667830102,0.9471661135140862,0.03164118256438874,0.029237300632687535,0.030444214302912734
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.965501815731226,0.9696581283171745,0.9677721975612213,0.038157066997241106,0.04089789927935495,0.03943387137182248
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.9337441939636176,0.9850609882286703,0.9584367299940768,0.03123290642252127,0.03044338734319355,0.030829599934261372
