id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.934833299022506,0.9191849717465594,0.9276764639994319,0.02255751250526257,0.022242684747421634,0.022405118785939468
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,1.0115500920025635,1.0343536492997507,1.0229394494623332,0.01916929888130683,0.01978422868751347,0.019457655990600665
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,1.015832699942629,1.0193271496510905,1.0178777346404735,0.02658888703001081,0.024530431439459863,0.02557237731751967
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,1.0153141737729738,0.9514370575802897,0.9828670641804076,0.021327677723225445,0.021135824397197633,0.021231143603705004
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.7483968643066854,0.9558753452567286,0.8365885654319576,0.021624737862724404,0.022954270840373,0.022246220791566084
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.9292483475352158,0.8857392711945548,0.9089191011047195,0.028843017766083782,0.029278149983054166,0.02908331920135543
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.9197295786404944,1.0468798791886023,0.9765207486891683,0.02195892351197391,0.023065252818981603,0.02256960192165918
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.9555900147280312,0.9459737640493954,0.9510487062351246,0.029422956782730537,0.028568772555706952,0.028994777930965204
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,1.0134139675016844,0.9610153329543977,0.9869038000567009,0.049530782977900124,0.049766231297530716,0.049666306902881895
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.9506911606952944,0.9910263970200301,0.9704360381474793,0.02517771771177958,0.0241876348721131,0.02465278726293774
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.9469473985910711,0.9903049981016318,0.9677289008978119,0.045104757546838486,0.04081794433983563,0.04278874657789381
