id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.031463588756507815,0.07661590417090412,0.03402547519970271,0.02217902098146833,0.025876137350801295,0.022939149981969036
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.025682094244509266,0.06624376064982852,0.02913011387368698,0.02078870201017559,0.018065721037839752,0.019384739967474782
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.040959953273054045,0.08932830605863967,0.04571462311395042,0.03036321049287745,0.03231330173599711,0.030982981804880832
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.05017445731702163,0.05446909040574254,0.05077461029255196,0.04250441906763875,0.04525334732197177,0.043714245244276036
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.027649517007164264,0.035828558040802365,0.02886632044901537,0.02090664879812637,0.02229093960405338,0.021278672263560908
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.019856009027036742,0.024593417335027897,0.020437329636235377,0.0208014331794528,0.025158582823931654,0.02214155486547158
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.05894483201435742,0.06904231672078852,0.06059258829432481,0.05127255980506093,0.04736502579253832,0.05009618640542576
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.03187171544009372,0.05378684213177654,0.033764247053670364,0.01881056171805529,0.02096637436732258,0.019422448392075912
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.02236707977468753,0.03489437639941896,0.023510772185872646,0.027198148966546386,0.03287353207538278,0.028807900726850084
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.020007847074026648,0.027991422636105344,0.020917822231812763,0.022720092446311818,0.022521180426570305,0.02272392352837141
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.02068440790033824,0.02905853624073868,0.021678325786755267,0.028748112011590363,0.03601180917934672,0.031136625919511742
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.02480846177939094,0.029149923749612682,0.025141467925882524,0.025348275082619522,0.026027320382151047,0.025616416788469872
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.030242287036460445,0.05771544426947412,0.03253540003778521,0.024817973594941523,0.03154387387104843,0.026136035172027994
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.022963286237803186,0.04012055764221099,0.02394850110365745,0.02405323572259152,0.026211305592173224,0.024624625383105517
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.03020170122233348,0.053661006502978024,0.031290328750214265,0.030727567371067067,0.03211747421914688,0.031211539263734538
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.02647086635816913,0.04224891100856845,0.0274269511994561,0.027992662528210376,0.029274353418307978,0.02860037111338932
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.02841753539599159,0.050001960371277354,0.030019180879769475,0.02797615218966132,0.02958599258122374,0.028846541128120944
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.02818788077754779,0.04738972690172701,0.02951099730956285,0.02988366500555047,0.03187292493036496,0.030605578334551794
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.02462085452319595,0.04017085792868909,0.02563684217661122,0.025163875802796574,0.031155440341146652,0.026415628438705426
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.025059719984954446,0.04546953264709993,0.026415604552910643,0.027401602858929515,0.030673551575152082,0.028405001305261215
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.02462498972308142,0.0441631756515272,0.025489308652359256,0.027887224642132377,0.05335451271125748,0.03141438270576248
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.01897358168006648,0.03140990549241134,0.019574095967397415,0.019362670992938178,0.021088186104628624,0.01993850076056927
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.020193314350006555,0.03073573730187353,0.02125122554578138,0.02264409939102476,0.023886090511981876,0.023172893597265164
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.02508193054611612,0.03235359456899881,0.025710217364362797,0.02574627147870275,0.027655879790416588,0.026321152998831508
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.018176186130016436,0.028539311119023105,0.019163192288054628,0.01860140186658569,0.019002437820244376,0.018773915821588893
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.01732094732592766,0.03607889814478221,0.01835537962205402,0.018952858985139,0.022930080926340458,0.02006700556089956
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.017248360457783635,0.02911526081780032,0.018030269679236953,0.020349123094608623,0.021050588967037872,0.02063103181023851
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.023332744480533626,0.035836796123018974,0.024189788672177387,0.02118514430865982,0.02159134096374361,0.021328509395068574
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.021904795453808402,0.03477350317340875,0.022575022403066775,0.027829849662512268,0.03911105187480594,0.030669080531592542
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.016116628690359774,0.02979008584874161,0.017120542809177023,0.015657468733955505,0.015865660913459582,0.015753883138573763
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.017863212801754173,0.03891877852465069,0.01893877601614131,0.01724731005570838,0.020457031092807866,0.018066827926876066
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.018305072496446216,0.037090793524316705,0.01961764069812825,0.01992050978397684,0.02648597539864354,0.02165522254420057
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.018021482317892495,0.03279080150318561,0.018902258962185534,0.020317154493125163,0.025910047256894102,0.02151837929829203
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.016783140756711303,0.02346718114454433,0.017125257239881658,0.022262008399733833,0.04114073078328209,0.02593723249283751
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.020544176255199015,0.048812434367440274,0.02263460215770531,0.02341841384794341,0.027135532219400356,0.024618795026537906
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.017284584350831307,0.035170358030448524,0.01802384253035518,0.01936030561672854,0.021226806379863544,0.02005880275699565
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.020099480795633444,0.03280747705537727,0.021097926012003287,0.021754128134642413,0.03158132857532965,0.024255462497621713
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.02024209579317681,0.04630357481443435,0.021307480770705368,0.020915588704981756,0.02070268880255779,0.020951400652921694
